columns,rows,variant,run,app,mode,renderObjects,repaintBoundaries,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
80,24,base,1,dashboard,idle,144,0,0,0,175,0,1,0,0,0
80,24,base,1,dashboard,leaf,144,0,0,2,174,24,21,0,0,0
80,24,base,1,dashboard,full,144,0,0,6,175,144,0,0,0,0
80,24,base,1,dashboard,relayout,144,0,0,0,174,1,1,0,0,0
80,24,base,1,agent,idle,67,2,0,0,62,0,1,0,2,226
80,24,base,1,agent,leaf,67,2,0,1,66,21,6,1,1,226
80,24,base,1,agent,full,67,2,0,2,70,67,0,2,0,226
80,24,base,1,agent,relayout,67,2,0,0,62,1,1,0,2,226
80,24,base,1,files,idle,152,20,0,0,73,0,1,0,14,357
80,24,base,1,files,leaf,152,20,0,4,75,30,21,1,13,357
80,24,base,1,files,full,152,20,0,27,93,152,0,14,0,357
80,24,base,1,files,relayout,152,20,0,0,73,1,1,0,14,357
80,24,base,1,editor,idle,42,0,0,0,51,0,1,0,0,0
80,24,base,1,editor,leaf,42,0,0,0,52,20,8,0,0,0
80,24,base,1,editor,full,42,0,0,7,52,42,0,0,0,0
80,24,base,1,editor,relayout,42,0,0,0,51,1,1,0,0,0
80,24,base,1,finance,idle,143,0,0,0,124,0,1,0,0,0
80,24,base,1,finance,leaf,143,0,0,1,125,26,13,0,0,0
80,24,base,1,finance,full,143,0,0,5,125,143,0,0,0,0
80,24,base,1,finance,relayout,143,0,0,0,124,1,1,0,0,0
80,24,base,2,dashboard,idle,144,0,0,0,171,0,1,0,0,0
80,24,base,2,dashboard,leaf,144,0,0,2,171,24,21,0,0,0
80,24,base,2,dashboard,full,144,0,0,5,172,144,0,0,0,0
80,24,base,2,dashboard,relayout,144,0,0,0,170,1,1,0,0,0
80,24,base,2,agent,idle,67,2,0,0,61,0,1,0,2,226
80,24,base,2,agent,leaf,67,2,0,1,65,21,6,1,1,226
80,24,base,2,agent,full,67,2,0,2,71,67,0,2,0,226
80,24,base,2,agent,relayout,67,2,0,0,62,1,1,0,2,226
80,24,base,2,files,idle,152,20,0,0,74,0,1,0,14,357
80,24,base,2,files,leaf,152,20,0,4,75,30,21,1,13,357
80,24,base,2,files,full,152,20,0,28,94,152,0,14,0,357
80,24,base,2,files,relayout,152,20,0,0,73,1,1,0,14,357
80,24,base,2,editor,idle,42,0,0,0,53,0,1,0,0,0
80,24,base,2,editor,leaf,42,0,0,0,54,20,8,0,0,0
80,24,base,2,editor,full,42,0,0,7,53,42,0,0,0,0
80,24,base,2,editor,relayout,42,0,0,0,52,1,1,0,0,0
80,24,base,2,finance,idle,143,0,0,0,125,0,1,0,0,0
80,24,base,2,finance,leaf,143,0,0,1,126,26,13,0,0,0
80,24,base,2,finance,full,143,0,0,5,126,143,0,0,0,0
80,24,base,2,finance,relayout,143,0,0,0,126,1,1,0,0,0
80,24,candidate,1,dashboard,idle,144,0,0,0,148,0,1,0,0,0
80,24,candidate,1,dashboard,leaf,144,0,0,2,146,24,21,0,0,0
80,24,candidate,1,dashboard,full,144,0,0,5,147,144,0,0,0,0
80,24,candidate,1,dashboard,relayout,144,0,0,0,149,1,1,0,0,0
80,24,candidate,1,agent,idle,67,2,0,0,41,0,1,0,2,226
80,24,candidate,1,agent,leaf,67,2,0,1,44,21,6,1,1,226
80,24,candidate,1,agent,full,67,2,0,2,49,67,0,2,0,226
80,24,candidate,1,agent,relayout,67,2,0,0,41,1,1,0,2,226
80,24,candidate,1,files,idle,152,20,0,0,52,0,1,0,14,357
80,24,candidate,1,files,leaf,152,20,0,4,53,30,21,1,13,357
80,24,candidate,1,files,full,152,20,0,26,71,152,0,14,0,357
80,24,candidate,1,files,relayout,152,20,0,0,52,1,1,0,14,357
80,24,candidate,1,editor,idle,42,0,0,0,31,0,1,0,0,0
80,24,candidate,1,editor,leaf,42,0,0,0,31,20,8,0,0,0
80,24,candidate,1,editor,full,42,0,0,7,31,42,0,0,0,0
80,24,candidate,1,editor,relayout,42,0,0,0,31,1,1,0,0,0
80,24,candidate,1,finance,idle,143,0,0,0,104,0,1,0,0,0
80,24,candidate,1,finance,leaf,143,0,0,1,104,26,13,0,0,0
80,24,candidate,1,finance,full,143,0,0,5,104,143,0,0,0,0
80,24,candidate,1,finance,relayout,143,0,0,0,105,1,1,0,0,0
80,24,candidate,2,dashboard,idle,144,0,0,0,149,0,1,0,0,0
80,24,candidate,2,dashboard,leaf,144,0,0,1,147,24,21,0,0,0
80,24,candidate,2,dashboard,full,144,0,0,5,147,144,0,0,0,0
80,24,candidate,2,dashboard,relayout,144,0,0,0,149,1,1,0,0,0
80,24,candidate,2,agent,idle,67,2,0,0,41,0,1,0,2,226
80,24,candidate,2,agent,leaf,67,2,0,1,44,21,6,1,1,226
80,24,candidate,2,agent,full,67,2,0,2,49,67,0,2,0,226
80,24,candidate,2,agent,relayout,67,2,0,0,41,1,1,0,2,226
80,24,candidate,2,files,idle,152,20,0,0,52,0,1,0,14,357
80,24,candidate,2,files,leaf,152,20,0,4,53,30,21,1,13,357
80,24,candidate,2,files,full,152,20,0,27,72,152,0,14,0,357
80,24,candidate,2,files,relayout,152,20,0,0,52,1,1,0,14,357
80,24,candidate,2,editor,idle,42,0,0,0,32,0,1,0,0,0
80,24,candidate,2,editor,leaf,42,0,0,0,31,20,8,0,0,0
80,24,candidate,2,editor,full,42,0,0,7,32,42,0,0,0,0
80,24,candidate,2,editor,relayout,42,0,0,0,32,1,1,0,0,0
80,24,candidate,2,finance,idle,143,0,0,0,106,0,1,0,0,0
80,24,candidate,2,finance,leaf,143,0,0,1,106,26,13,0,0,0
80,24,candidate,2,finance,full,143,0,0,5,106,143,0,0,0,0
80,24,candidate,2,finance,relayout,143,0,0,0,105,1,1,0,0,0
120,40,base,1,dashboard,idle,144,0,0,0,307,0,1,0,0,0
120,40,base,1,dashboard,leaf,144,0,0,2,305,24,21,0,0,0
120,40,base,1,dashboard,full,144,0,0,7,309,144,0,0,0,0
120,40,base,1,dashboard,relayout,144,0,0,0,305,1,1,0,0,0
120,40,base,1,agent,idle,67,2,0,0,117,0,1,0,2,304
120,40,base,1,agent,leaf,67,2,0,1,121,21,6,1,1,304
120,40,base,1,agent,full,67,2,0,3,127,67,0,2,0,304
120,40,base,1,agent,relayout,67,2,0,0,117,1,1,0,2,304
120,40,base,1,files,idle,152,20,0,0,135,0,1,0,14,352
120,40,base,1,files,leaf,152,20,0,4,137,30,21,1,13,352
120,40,base,1,files,full,152,20,0,28,156,152,0,14,0,352
120,40,base,1,files,relayout,152,20,0,0,134,1,1,0,14,352
120,40,base,1,editor,idle,42,0,0,0,101,0,1,0,0,0
120,40,base,1,editor,leaf,42,0,0,1,102,20,8,0,0,0
120,40,base,1,editor,full,42,0,0,10,102,42,0,0,0,0
120,40,base,1,editor,relayout,42,0,0,0,101,1,1,0,0,0
120,40,base,1,finance,idle,283,0,0,0,305,0,1,0,0,0
120,40,base,1,finance,leaf,283,0,0,2,305,25,19,0,0,0
120,40,base,1,finance,full,283,0,0,12,306,283,0,0,0,0
120,40,base,1,finance,relayout,283,0,0,0,305,1,1,0,0,0
120,40,base,2,dashboard,idle,144,0,0,0,300,0,1,0,0,0
120,40,base,2,dashboard,leaf,144,0,0,2,300,24,21,0,0,0
120,40,base,2,dashboard,full,144,0,0,6,300,144,0,0,0,0
120,40,base,2,dashboard,relayout,144,0,0,0,298,1,1,0,0,0
120,40,base,2,agent,idle,67,2,0,0,116,0,1,0,2,304
120,40,base,2,agent,leaf,67,2,0,1,120,21,6,1,1,304
120,40,base,2,agent,full,67,2,0,3,125,67,0,2,0,304
120,40,base,2,agent,relayout,67,2,0,0,115,1,1,0,2,304
120,40,base,2,files,idle,152,20,0,0,131,0,1,0,14,352
120,40,base,2,files,leaf,152,20,0,4,134,30,21,1,13,352
120,40,base,2,files,full,152,20,0,27,152,152,0,14,0,352
120,40,base,2,files,relayout,152,20,0,0,132,1,1,0,14,352
120,40,base,2,editor,idle,42,0,0,0,102,0,1,0,0,0
120,40,base,2,editor,leaf,42,0,0,1,102,20,8,0,0,0
120,40,base,2,editor,full,42,0,0,10,103,42,0,0,0,0
120,40,base,2,editor,relayout,42,0,0,0,103,1,1,0,0,0
120,40,base,2,finance,idle,283,0,0,0,310,0,1,0,0,0
120,40,base,2,finance,leaf,283,0,0,2,311,25,19,0,0,0
120,40,base,2,finance,full,283,0,0,13,309,283,0,0,0,0
120,40,base,2,finance,relayout,283,0,0,0,308,1,1,0,0,0
120,40,candidate,1,dashboard,idle,144,0,0,0,246,0,1,0,0,0
120,40,candidate,1,dashboard,leaf,144,0,0,2,246,24,21,0,0,0
120,40,candidate,1,dashboard,full,144,0,0,6,247,144,0,0,0,0
120,40,candidate,1,dashboard,relayout,144,0,0,0,247,1,1,0,0,0
120,40,candidate,1,agent,idle,67,2,0,0,64,0,1,0,2,304
120,40,candidate,1,agent,leaf,67,2,0,1,68,21,6,1,1,304
120,40,candidate,1,agent,full,67,2,0,2,73,67,0,2,0,304
120,40,candidate,1,agent,relayout,67,2,0,0,64,1,1,0,2,304
120,40,candidate,1,files,idle,152,20,0,0,80,0,1,0,14,352
120,40,candidate,1,files,leaf,152,20,0,4,82,30,21,1,13,352
120,40,candidate,1,files,full,152,20,0,26,100,152,0,14,0,352
120,40,candidate,1,files,relayout,152,20,0,0,81,1,1,0,14,352
120,40,candidate,1,editor,idle,42,0,0,0,50,0,1,0,0,0
120,40,candidate,1,editor,leaf,42,0,0,0,50,20,8,0,0,0
120,40,candidate,1,editor,full,42,0,0,10,50,42,0,0,0,0
120,40,candidate,1,editor,relayout,42,0,0,0,50,1,1,0,0,0
120,40,candidate,1,finance,idle,283,0,0,0,258,0,1,0,0,0
120,40,candidate,1,finance,leaf,283,0,0,2,259,25,19,0,0,0
120,40,candidate,1,finance,full,283,0,0,13,258,283,0,0,0,0
120,40,candidate,1,finance,relayout,283,0,0,0,258,1,1,0,0,0
120,40,candidate,2,dashboard,idle,144,0,0,0,257,0,1,0,0,0
120,40,candidate,2,dashboard,leaf,144,0,0,2,257,24,21,0,0,0
120,40,candidate,2,dashboard,full,144,0,0,7,257,144,0,0,0,0
120,40,candidate,2,dashboard,relayout,144,0,0,0,258,1,1,0,0,0
120,40,candidate,2,agent,idle,67,2,0,0,65,0,1,0,2,304
120,40,candidate,2,agent,leaf,67,2,0,1,68,21,6,1,1,304
120,40,candidate,2,agent,full,67,2,0,3,74,67,0,2,0,304
120,40,candidate,2,agent,relayout,67,2,0,0,65,1,1,0,2,304
120,40,candidate,2,files,idle,152,20,0,0,82,0,1,0,14,352
120,40,candidate,2,files,leaf,152,20,0,4,83,30,21,1,13,352
120,40,candidate,2,files,full,152,20,0,26,102,152,0,14,0,352
120,40,candidate,2,files,relayout,152,20,0,0,81,1,1,0,14,352
120,40,candidate,2,editor,idle,42,0,0,0,49,0,1,0,0,0
120,40,candidate,2,editor,leaf,42,0,0,0,49,20,8,0,0,0
120,40,candidate,2,editor,full,42,0,0,10,50,42,0,0,0,0
120,40,candidate,2,editor,relayout,42,0,0,0,50,1,1,0,0,0
120,40,candidate,2,finance,idle,283,0,0,0,253,0,1,0,0,0
120,40,candidate,2,finance,leaf,283,0,0,2,256,25,19,0,0,0
120,40,candidate,2,finance,full,283,0,0,12,253,283,0,0,0,0
