variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
base,0,plain,50,copy,60,0,16730,1228072455,84,279
base,0,plain,50,copy-all,60,0,255430,2897693547,91,306
base,1,plain,50,copy,60,0,16730,1228072455,83,90
base,1,plain,50,copy-all,60,0,255430,2897693547,87,201
base,0,plain,1000,copy,60,0,16730,4053437227,144,203
base,0,plain,1000,copy-all,60,0,5109930,2704721301,156,360
base,1,plain,1000,copy,60,0,16730,4053437227,143,152
base,1,plain,1000,copy-all,60,0,5109930,2704721301,156,170
base,0,plain,10000,copy,30,0,9560,1404687173,926,2919
base,0,plain,10000,copy-all,30,0,29199960,3813876293,845,1806
base,1,plain,10000,copy,30,0,9560,1404687173,1091,2461
base,1,plain,10000,copy-all,30,0,29199960,3813876293,866,2282
base,0,rich,50,copy,60,0,16730,675705227,105,127
base,0,rich,50,copy-all,60,0,255430,1863551171,118,372
base,1,rich,50,copy,60,0,16730,675705227,105,124
base,1,rich,50,copy-all,60,0,255430,1863551171,118,129
base,0,rich,1000,copy,60,0,16730,2752129767,168,173
base,0,rich,1000,copy-all,60,0,5109930,549569285,201,561
base,1,rich,1000,copy,60,0,16730,2752129767,167,173
base,1,rich,1000,copy-all,60,0,5109930,549569285,201,262
base,0,rich,10000,copy,30,0,9560,2685947361,1055,1254
base,0,rich,10000,copy-all,30,0,29199960,1844308149,1836,7983
base,1,rich,10000,copy,30,0,9560,2685947361,934,1031
base,1,rich,10000,copy-all,30,0,29199960,1844308149,1192,3129
base,0,spans,50,copy,60,0,16730,3317457143,106,255
base,0,spans,50,copy-all,60,0,255430,4119145319,134,372
base,1,spans,50,copy,60,0,16730,3317457143,106,111
base,1,spans,50,copy-all,60,0,255430,4119145319,121,125
base,0,spans,1000,copy,60,0,16730,619799109,166,361
base,0,spans,1000,copy-all,60,0,5109930,1196124373,173,317
base,1,spans,1000,copy,60,0,16730,619799109,165,192
base,1,spans,1000,copy-all,60,0,5109930,1196124373,177,183
base,0,spans,10000,copy,30,0,9560,1111127019,1276,3019
base,0,spans,10000,copy-all,30,0,29199960,2264602581,813,899
base,1,spans,10000,copy,30,0,9560,1111127019,919,3348
base,1,spans,10000,copy-all,30,0,29199960,2264602581,880,959
after,0,plain,50,copy,60,0,16730,1228072455,84,177
after,0,plain,50,copy-all,60,0,255430,2897693547,90,227
after,1,plain,50,copy,60,0,16730,1228072455,83,98
after,1,plain,50,copy-all,60,0,255430,2897693547,86,94
after,0,plain,1000,copy,60,0,16730,4053437227,116,132
after,0,plain,1000,copy-all,60,0,5109930,2704721301,161,187
after,1,plain,1000,copy,60,0,16730,4053437227,114,122
after,1,plain,1000,copy-all,60,0,5109930,2704721301,161,173
after,0,plain,10000,copy,30,0,9560,1404687173,437,445
after,0,plain,10000,copy-all,30,0,29199960,3813876293,1187,2964
after,1,plain,10000,copy,30,0,9560,1404687173,436,519
after,1,plain,10000,copy-all,30,0,29199960,3813876293,1522,3413
after,0,rich,50,copy,60,0,16730,675705227,107,114
after,0,rich,50,copy-all,60,0,255430,1863551171,121,132
after,1,rich,50,copy,60,0,16730,675705227,101,113
after,1,rich,50,copy-all,60,0,255430,1863551171,115,120
after,0,rich,1000,copy,60,0,16730,2752129767,139,143
after,0,rich,1000,copy-all,60,0,5109930,549569285,195,209
after,1,rich,1000,copy,60,0,16730,2752129767,137,145
after,1,rich,1000,copy-all,60,0,5109930,549569285,193,199
after,0,rich,10000,copy,30,0,9560,2685947361,438,470
after,0,rich,10000,copy-all,30,0,29199960,1844308149,996,2510
after,1,rich,10000,copy,30,0,9560,2685947361,484,698
after,1,rich,10000,copy-all,30,0,29199960,1844308149,1376,3288
after,0,spans,50,copy,60,0,16730,3317457143,105,123
after,0,spans,50,copy-all,60,0,255430,4119145319,119,126
after,1,spans,50,copy,60,0,16730,3317457143,104,106
after,1,spans,50,copy-all,60,0,255430,4119145319,124,146
after,0,spans,1000,copy,60,0,16730,619799109,138,142
after,0,spans,1000,copy-all,60,0,5109930,1196124373,209,489
after,1,spans,1000,copy,60,0,16730,619799109,137,139
after,1,spans,1000,copy-all,60,0,5109930,1196124373,207,217
after,0,spans,10000,copy,30,0,9560,1111127019,467,811
after,0,spans,10000,copy-all,30,0,29199960,2264602581,1121,3504
after,1,spans,10000,copy,30,0,9560,1111127019,432,499
after,1,spans,10000,copy-all,30,0,29199960,2264602581,1117,3434
