variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
after,0,plain,spec,True,1000,open,60,60,0,1830451483,2993,3260,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,rebuild-same,60,0,0,1830451483,82,95,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,79,123,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,edit,60,60,0,37686951,2911,3171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,resize,60,60,0,1830451483,2075,2450,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,drag,60,60,0,1797951353,81,107,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,copy,60,0,16730,4053437227,86,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,1000,copy-all,60,0,5109930,2704721301,124,135,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,open,60,60,0,1830451483,2827,3017,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,rebuild-same,60,0,0,1830451483,80,110,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,79,86,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,edit,60,60,0,37686951,2793,3063,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,resize,60,60,0,1830451483,1972,2243,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,drag,60,60,0,1797951353,79,111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,copy,60,0,16730,4053437227,83,90,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,1000,copy-all,60,0,5109930,2704721301,113,149,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,open,30,30,0,1830451483,29783,31591,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,rebuild-same,30,0,0,1830451483,79,82,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,rebuild-equal,30,0,0,1830451483,79,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,edit,30,30,0,37686951,34359,38656,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,resize,30,30,0,1830451483,22361,25117,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,10000,drag,30,30,0,2724726841,103,143,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
