variant,run,kind,policy,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
policy-fixed-before,0,rich,spec,1000,open,60,60,0,3858414627,6517,8366
policy-fixed-before,0,rich,spec,1000,rebuild-same,60,0,0,3858414627,96,99
policy-fixed-before,0,rich,spec,1000,rebuild-equal,60,0,0,3858414627,99,129
policy-fixed-before,0,rich,spec,1000,edit,60,60,0,2284405263,6576,8943
policy-fixed-before,0,rich,spec,1000,resize,60,60,0,3858414627,3293,3538
policy-fixed-before,0,rich,spec,1000,drag,60,60,0,3831988741,98,119
policy-fixed-before,0,rich,spec,1000,copy,60,0,16730,2752129767,103,108
policy-fixed-before,0,rich,spec,1000,copy-all,60,0,5109930,549569285,144,168
factory-after,0,rich,spec,1000,open,60,60,0,3858414627,6640,9085
factory-after,0,rich,spec,1000,rebuild-same,60,0,0,3858414627,96,121
factory-after,0,rich,spec,1000,rebuild-equal,60,0,0,3858414627,97,102
factory-after,0,rich,spec,1000,edit,60,60,0,2284405263,6766,8550
factory-after,0,rich,spec,1000,resize,60,60,0,3858414627,3326,3632
factory-after,0,rich,spec,1000,drag,60,60,0,3831988741,104,113
factory-after,0,rich,spec,1000,copy,60,0,16730,2752129767,106,110
factory-after,0,rich,spec,1000,copy-all,60,0,5109930,549569285,144,175
policy-fixed-before,0,spans,spec,1000,open,60,60,0,2232575019,7464,8246
policy-fixed-before,0,spans,spec,1000,rebuild-same,60,0,0,2232575019,128,135
policy-fixed-before,0,spans,spec,1000,rebuild-equal,60,0,0,2232575019,137,146
policy-fixed-before,0,spans,spec,1000,edit,60,60,0,4052510319,7470,8971
policy-fixed-before,0,spans,spec,1000,resize,60,60,0,2232575019,3314,3707
policy-fixed-before,0,spans,spec,1000,drag,60,60,0,2618650863,99,107
policy-fixed-before,0,spans,spec,1000,copy,60,0,16730,619799109,104,165
policy-fixed-before,0,spans,spec,1000,copy-all,60,0,5109930,1196124373,149,246
factory-after,0,spans,spec,1000,open,60,60,0,2232575019,7138,7775
factory-after,0,spans,spec,1000,rebuild-same,60,0,0,2232575019,127,132
factory-after,0,spans,spec,1000,rebuild-equal,60,0,0,2232575019,140,164
factory-after,0,spans,spec,1000,edit,60,60,0,4052510319,7469,8797
factory-after,0,spans,spec,1000,resize,60,60,0,2232575019,3296,3750
factory-after,0,spans,spec,1000,drag,60,60,0,2618650863,99,109
factory-after,0,spans,spec,1000,copy,60,0,16730,619799109,103,118
factory-after,0,spans,spec,1000,copy-all,60,0,5109930,1196124373,146,182
policy-fixed-before,0,rich,split,1000,open,60,60,0,7385663,8960,10264
policy-fixed-before,0,rich,split,1000,rebuild-same,60,0,0,7385663,102,116
policy-fixed-before,0,rich,split,1000,rebuild-equal,60,0,0,7385663,103,112
policy-fixed-before,0,rich,split,1000,edit,60,60,0,1864840635,9284,12346
policy-fixed-before,0,rich,split,1000,resize,60,60,0,7385663,3434,4036
policy-fixed-before,0,rich,split,1000,drag,60,60,0,108748043,117,125
policy-fixed-before,0,rich,split,1000,copy,60,0,16730,2682076145,153,197
policy-fixed-before,0,rich,split,1000,copy-all,60,0,5109930,437228629,295,377
factory-after,0,rich,split,1000,open,60,60,0,7385663,8112,9871
factory-after,0,rich,split,1000,rebuild-same,60,0,0,7385663,100,109
factory-after,0,rich,split,1000,rebuild-equal,60,0,0,7385663,101,113
factory-after,0,rich,split,1000,edit,60,60,0,1864840635,8361,9516
factory-after,0,rich,split,1000,resize,60,60,0,7385663,3415,3687
