stage,variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
compact,base,0,rich,1000,open,60,60,0,3858414627,11690,15058
compact,base,0,rich,1000,rebuild-same,60,0,0,3858414627,14522,23170
compact,base,0,rich,1000,rebuild-equal,60,0,0,3858414627,15053,21202
compact,base,0,rich,1000,edit,60,60,0,2284405263,12673,19187
compact,base,0,rich,1000,resize,60,60,0,3858414627,5676,6352
compact,base,0,rich,1000,drag,60,60,0,3831988741,123,144
compact,base,0,rich,1000,copy,60,0,16730,2752129767,159,212
compact,base,1,rich,1000,open,60,60,0,3858414627,11528,14629
compact,base,1,rich,1000,rebuild-same,60,0,0,3858414627,12645,18098
compact,base,1,rich,1000,rebuild-equal,60,0,0,3858414627,12511,16908
compact,base,1,rich,1000,edit,60,60,0,2284405263,12886,19154
compact,base,1,rich,1000,resize,60,60,0,3858414627,5666,6324
compact,base,1,rich,1000,drag,60,60,0,3831988741,123,133
compact,base,1,rich,1000,copy,60,0,16730,2752129767,167,279
compact,base,0,spans,1000,open,60,60,0,2232575019,11266,14404
compact,base,0,spans,1000,rebuild-same,60,0,0,2232575019,12766,17896
compact,base,0,spans,1000,rebuild-equal,60,0,0,2232575019,13340,18438
compact,base,0,spans,1000,edit,60,60,0,4052510319,13073,18049
compact,base,0,spans,1000,resize,60,60,0,2232575019,5711,6313
compact,base,0,spans,1000,drag,60,60,0,2618650863,123,143
compact,base,0,spans,1000,copy,60,0,16730,619799109,160,224
compact,base,1,spans,1000,open,60,60,0,2232575019,11232,13545
compact,base,1,spans,1000,rebuild-same,60,0,0,2232575019,12978,17316
compact,base,1,spans,1000,rebuild-equal,60,0,0,2232575019,12703,18170
compact,base,1,spans,1000,edit,60,60,0,4052510319,12697,17651
compact,base,1,spans,1000,resize,60,60,0,2232575019,5770,6200
compact,base,1,spans,1000,drag,60,60,0,2618650863,123,254
compact,base,1,spans,1000,copy,60,0,16730,619799109,159,276
compact,base,0,plain,1000,open,60,60,0,1830451483,2768,2946
compact,base,0,plain,1000,rebuild-same,60,0,0,1830451483,80,102
compact,base,0,plain,1000,rebuild-equal,60,0,0,1830451483,79,83
compact,base,0,plain,1000,edit,60,60,0,37686951,2808,3012
compact,base,0,plain,1000,resize,60,60,0,1830451483,1992,2196
compact,base,0,plain,1000,drag,60,60,0,1797951353,106,131
