variant,run,kind,phase,projectLiveBytes,vmHeapUsage,glyphCount,loweredGlyphCount,renderTextCount,renderRichTextCount,testerCount
after,0,plain,empty-before,2848,23461392,0,0,0,0,0
after,0,plain,mounted,101808,24191904,0,0,1,0,1
after,0,plain,emptied,16176,23888288,0,0,1,0,1
after,0,plain,released,3024,23699664,0,0,0,0,0
after,0,plain,empty-after-50,3024,23819696,0,0,0,0,0
after,1,plain,empty-before,2848,23461392,0,0,0,0,0
after,1,plain,mounted,101808,24191904,0,0,1,0,1
after,1,plain,emptied,16176,23888288,0,0,1,0,1
after,1,plain,released,3024,23699664,0,0,0,0,0
after,1,plain,empty-after-50,3024,23819408,0,0,0,0,0
after,0,rich,empty-before,2736,23302128,1,0,0,0,0
after,0,rich,mounted,231680,25164544,4031,0,0,1,1
after,0,rich,emptied,15232,23740912,1,0,0,1,1
after,0,rich,released,2944,23554368,1,0,0,0,0
after,0,rich,empty-after-50,2944,23626080,1,0,0,0,0
after,1,rich,empty-before,2736,23302128,1,0,0,0,0
after,1,rich,mounted,231680,25164544,4031,0,0,1,1
after,1,rich,emptied,15232,23740912,1,0,0,1,1
after,1,rich,released,2944,23554368,1,0,0,0,0
after,1,rich,empty-after-50,2944,23626080,1,0,0,0,0
after,0,spans,empty-before,2736,23375248,1,0,0,0,0
after,0,spans,mounted,1268208,26348304,29080,0,0,1,1
after,0,spans,emptied,15232,23813504,1,0,0,1,1
after,0,spans,released,2944,23626960,1,0,0,0,0
after,0,spans,empty-after-50,2944,23698528,1,0,0,0,0
after,1,spans,empty-before,2736,23375248,1,0,0,0,0
after,1,spans,mounted,1268208,26348304,29080,0,0,1,1
after,1,spans,emptied,15232,23813504,1,0,0,1,1
after,1,spans,released,2944,23626960,1,0,0,0,0
after,1,spans,empty-after-50,2944,23698528,1,0,0,0,0
base,0,plain,empty-before,2848,23436064,0,0,0,0,0
base,0,plain,mounted,101792,24166688,0,0,1,0,1
base,0,plain,emptied,16160,23866560,0,0,1,0,1
base,0,plain,released,3024,23677952,0,0,0,0,0
base,0,plain,empty-after-50,3024,23790560,0,0,0,0,0
base,1,plain,empty-before,2848,23436496,0,0,0,0,0
base,1,plain,mounted,101792,24166688,0,0,1,0,1
base,1,plain,emptied,16160,23866560,0,0,1,0,1
base,1,plain,released,3024,23677952,0,0,0,0,0
base,1,plain,empty-after-50,3024,23790784,0,0,0,0,0
base,0,rich,empty-before,2768,23255808,1,0,0,0,0
base,0,rich,mounted,3615744,28504784,54892,0,0,1,1
base,0,rich,emptied,15232,23689696,1,0,0,1,1
base,0,rich,released,2976,23503280,1,0,0,0,0
base,0,rich,empty-after-50,2976,23577344,1,0,0,0,0
base,1,rich,empty-before,2768,23255808,1,0,0,0,0
base,1,rich,mounted,3615744,28504784,54892,0,0,1,1
base,1,rich,emptied,15232,23689696,1,0,0,1,1
base,1,rich,released,2976,23503280,1,0,0,0,0
base,1,rich,empty-after-50,2976,23577344,1,0,0,0,0
base,0,spans,empty-before,2768,23322016,1,0,0,0,0
base,0,spans,mounted,3850704,28837968,54892,0,0,1,1
base,0,spans,emptied,15232,23759920,1,0,0,1,1
base,0,spans,released,2976,23573440,1,0,0,0,0
base,0,spans,empty-after-50,2976,23640800,1,0,0,0,0
base,1,spans,empty-before,2768,23322016,1,0,0,0,0
base,1,spans,mounted,3850704,28837968,54892,0,0,1,1
base,1,spans,emptied,15232,23759920,1,0,0,1,1
base,1,spans,released,2976,23573440,1,0,0,0,0
base,1,spans,empty-after-50,2976,23640800,1,0,0,0,0
