variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
before,0,plain,spec,False,1000,resize,60,60,0,1830451483,689,2260,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,plain,spec,False,1000,resize,60,60,0,1830451483,655,1834,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,plain,spec,False,10000,resize,60,60,0,1830451483,7798,23272,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,plain,spec,False,10000,resize,60,60,0,1830451483,7391,12737,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,rich,spec,False,1000,resize,60,60,0,3858414627,3546,3953,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,rich,spec,False,1000,resize,60,60,0,3858414627,3373,3896,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,rich,spec,False,10000,resize,60,60,0,3858414627,38776,43050,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,rich,spec,False,10000,resize,60,60,0,3858414627,38681,42222,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,rich,split,False,1000,resize,60,60,0,7385663,3554,4038,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,rich,split,False,1000,resize,60,60,0,7385663,3519,4002,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,rich,split,False,10000,resize,60,60,0,7385663,41264,44474,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,rich,split,False,10000,resize,60,60,0,7385663,42503,51089,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,spans,spec,False,1000,resize,60,60,0,2232575019,3468,3866,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,1,spans,spec,False,1000,resize,60,60,0,2232575019,3506,4082,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
before,0,spans,spec,False,10000,resize,60,60,0,2232575019,40575,46422,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
