variant,run,kind,lines,policy,wrap,peakRssBytes
after,0,plain,1000,spec,True,54558720
after,1,plain,1000,spec,True,53886976
after,0,plain,10000,spec,True,88129536
after,1,plain,10000,spec,True,88096768
after,0,plain,50,spec,True,27705344
after,1,plain,50,spec,True,27295744
after,0,rich,1000,spec,True,87556096
after,1,rich,1000,spec,True,87523328
after,0,rich,10000,spec,True,163643392
after,1,rich,10000,spec,True,208535552
after,0,rich,50,spec,True,27361280
after,1,rich,50,spec,True,27770880
after,0,rich,1000,split,True,86999040
after,1,rich,1000,split,True,86982656
after,0,spans,1000,spec,True,86605824
after,1,spans,1000,spec,True,86704128
after,0,spans,10000,spec,True,242647040
after,1,spans,10000,spec,True,287965184
after,0,spans,50,spec,True,28033024
after,1,spans,50,spec,True,27967488
after,0,spans,1000,split,True,219152384
after,1,spans,1000,split,True,92618752
base,0,plain,1000,spec,True,54558720
base,1,plain,1000,spec,True,54247424
base,0,plain,10000,spec,True,88113152
base,1,plain,10000,spec,True,88440832
base,0,plain,50,spec,True,27017216
base,1,plain,50,spec,True,27361280
base,0,rich,1000,spec,True,233193472
base,1,rich,1000,spec,True,231096320
base,0,rich,10000,spec,True,347815936
base,1,rich,10000,spec,True,292765696
base,0,rich,50,spec,True,52592640
base,1,rich,50,spec,True,53166080
base,0,rich,1000,split,True,229703680
base,1,rich,1000,split,True,230834176
base,0,spans,1000,spec,True,235962368
base,1,spans,1000,spec,True,236503040
base,0,spans,10000,spec,True,360366080
base,1,spans,10000,spec,True,350388224
base,0,spans,50,spec,True,54034432
base,1,spans,50,spec,True,53346304
base,0,spans,1000,split,True,228999168
base,1,spans,1000,split,True,225804288
