variant,run,columns,rows,app,mode,renderObjects,changedFrames,leafRenderObjectIndex,totalUs_median,totalUs_p95,buildUs_median,buildUs_p95,layoutUs_median,layoutUs_p95,paintUs_median,paintUs_p95,bufferPrepareUs_median,bufferPrepareUs_p95,finishUs_median,finishUs_p95
after,0,120,40,dashboard,clean,144,0,11,211,291,0,0,0,0,153,218,4,5,52,57
after,0,120,40,dashboard,leaf,144,600,11,212,305,0,0,0,0,154,234,4,5,52,59
after,0,120,40,dashboard,full,144,0,11,229,331,0,0,5,11,154,249,4,5,52,58
after,0,120,40,agent,clean,67,0,12,62,69,0,0,0,0,34,40,4,4,23,24
after,0,120,40,agent,leaf,67,600,12,62,69,0,0,0,0,34,39,4,4,23,24
after,0,120,40,agent,full,67,0,12,75,88,0,0,2,5,40,48,4,4,23,24
after,0,120,40,files,clean,152,0,11,79,97,0,0,0,0,45,56,4,4,28,31
after,0,120,40,files,leaf,152,600,11,79,93,0,0,0,0,44,51,4,4,28,31
after,0,120,40,files,full,152,0,11,127,180,0,0,18,28,61,76,4,4,29,32
after,0,120,40,editor,clean,42,0,20,58,72,0,0,0,0,33,39,4,4,20,21
after,0,120,40,editor,leaf,42,600,20,58,72,0,0,0,0,33,38,4,4,20,21
after,0,120,40,editor,full,42,0,20,68,86,0,0,6,9,33,42,4,4,20,21
after,0,120,40,finance,clean,283,0,12,195,277,0,0,0,0,132,202,4,5,58,63
after,0,120,40,finance,leaf,283,600,12,196,258,0,0,0,0,131,182,4,5,58,64
after,0,120,40,finance,full,283,0,12,232,366,0,0,10,19,132,197,4,5,58,65
after,1,120,40,dashboard,clean,144,0,11,209,260,0,0,0,0,151,188,4,4,52,55
after,1,120,40,dashboard,leaf,144,600,11,209,252,0,0,0,0,151,180,4,4,52,55
after,1,120,40,dashboard,full,144,0,11,227,336,0,0,5,9,151,242,4,4,52,55
after,1,120,40,agent,clean,67,0,12,64,70,0,0,0,0,36,40,4,4,23,24
after,1,120,40,agent,leaf,67,600,12,64,69,0,0,0,0,36,40,4,4,23,24
after,1,120,40,agent,full,67,0,12,77,86,0,0,2,5,42,48,4,4,22,23
after,1,120,40,files,clean,152,0,11,79,85,0,0,0,0,46,50,4,4,28,29
after,1,120,40,files,leaf,152,600,11,79,85,0,0,0,0,46,50,4,4,28,29
