columns,rows,variant,run,app,mode,renderObjects,leafRenderObjectIndex,changedFrames,totalUsMedian,totalUsP95,buildUsMedian,buildUsP95,layoutUsMedian,layoutUsP95,paintUsMedian,paintUsP95,bufferPrepareUsMedian,bufferPrepareUsP95,finishUsMedian,finishUsP95
80,24,base,1,dashboard,clean,144,11,0,210,317,0,0,0,0,169,276,1,1,39,47
80,24,base,1,dashboard,leaf,144,11,300,211,328,0,0,0,0,169,285,1,1,39,47
80,24,base,1,dashboard,full,144,11,0,228,345,0,0,5,10,169,280,1,1,39,47
80,24,base,1,agent,clean,67,12,0,99,119,0,0,0,0,62,77,1,1,35,38
80,24,base,1,agent,leaf,67,12,300,100,116,0,0,0,0,62,77,1,1,35,38
80,24,base,1,agent,full,67,12,0,115,126,0,0,2,5,70,76,1,1,35,39
80,24,base,1,files,clean,152,11,0,112,151,0,0,0,0,74,98,1,1,37,39
80,24,base,1,files,leaf,152,11,300,112,126,0,0,0,0,73,81,1,1,36,39
80,24,base,1,files,full,152,11,0,170,272,0,0,27,32,93,120,1,1,36,39
80,24,base,1,editor,clean,42,20,0,90,105,0,0,0,0,53,62,1,1,35,38
80,24,base,1,editor,leaf,42,20,300,90,102,0,0,0,0,53,60,1,1,35,38
80,24,base,1,editor,full,42,20,0,100,113,0,0,6,9,52,60,1,1,35,38
80,24,base,1,finance,clean,143,12,0,164,226,0,0,0,0,126,177,1,1,37,40
80,24,base,1,finance,leaf,143,12,300,165,223,0,0,0,0,126,180,1,3,37,40
80,24,base,1,finance,full,143,12,0,182,241,0,0,5,8,125,168,1,1,37,40
80,24,base,2,dashboard,clean,144,11,0,209,315,0,0,0,0,167,272,1,1,39,42
80,24,base,2,dashboard,leaf,144,11,300,209,327,0,0,0,0,167,281,1,1,39,42
80,24,base,2,dashboard,full,144,11,0,227,350,0,0,5,10,167,285,1,1,39,42
80,24,base,2,agent,clean,67,12,0,100,114,0,0,0,0,63,75,1,1,35,38
80,24,base,2,agent,leaf,67,12,300,101,120,0,0,0,0,63,75,1,1,36,38
80,24,base,2,agent,full,67,12,0,115,128,0,0,2,6,71,77,1,1,36,38
80,24,base,2,files,clean,152,11,0,110,130,0,0,0,0,71,84,1,1,37,40
80,24,base,2,files,leaf,152,11,300,110,123,0,0,0,0,71,80,1,1,36,39
