columns,rows,variant,run,app,mode,renderObjects,repaintBoundaries,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
80,24,base,1,dashboard,idle,144,0,0,0,171,0,1,0,0,0
80,24,base,1,dashboard,leaf,144,0,0,1,172,24,21,0,0,0
80,24,base,1,dashboard,full,144,0,0,5,172,144,0,0,0,0
80,24,base,1,dashboard,relayout,144,0,0,0,171,1,1,0,0,0
80,24,base,1,agent,idle,67,2,0,0,61,0,1,0,2,226
80,24,base,1,agent,leaf,67,2,0,1,64,21,6,1,1,226
80,24,base,1,agent,full,67,2,0,2,70,67,0,2,0,226
80,24,base,1,agent,relayout,67,2,0,0,61,1,1,0,2,226
80,24,base,1,files,idle,152,20,0,0,73,0,1,0,14,357
80,24,base,1,files,leaf,152,20,0,3,75,30,21,1,13,357
80,24,base,1,files,full,152,20,0,26,93,152,0,14,0,357
80,24,base,1,files,relayout,152,20,0,0,73,1,1,0,14,357
80,24,base,1,editor,idle,42,0,0,0,52,0,1,0,0,0
80,24,base,1,editor,leaf,42,0,0,0,52,20,8,0,0,0
80,24,base,1,editor,full,42,0,0,7,52,42,0,0,0,0
80,24,base,1,editor,relayout,42,0,0,0,52,1,1,0,0,0
80,24,base,1,finance,idle,143,0,0,0,126,0,1,0,0,0
80,24,base,1,finance,leaf,143,0,0,1,126,26,13,0,0,0
80,24,base,1,finance,full,143,0,0,5,126,143,0,0,0,0
80,24,base,1,finance,relayout,143,0,0,0,126,1,1,0,0,0
80,24,base,2,dashboard,idle,144,0,0,0,168,0,1,0,0,0
80,24,base,2,dashboard,leaf,144,0,0,1,169,24,21,0,0,0
80,24,base,2,dashboard,full,144,0,0,5,169,144,0,0,0,0
80,24,base,2,dashboard,relayout,144,0,0,0,169,1,1,0,0,0
80,24,base,2,agent,idle,67,2,0,0,62,0,1,0,2,226
80,24,base,2,agent,leaf,67,2,0,1,65,21,6,1,1,226
80,24,base,2,agent,full,67,2,0,2,70,67,0,2,0,226
80,24,base,2,agent,relayout,67,2,0,0,61,1,1,0,2,226
80,24,base,2,files,idle,152,20,0,0,73,0,1,0,14,357
80,24,base,2,files,leaf,152,20,0,4,74,30,21,1,13,357
80,24,base,2,files,full,152,20,0,26,93,152,0,14,0,357
80,24,base,2,files,relayout,152,20,0,0,72,1,1,0,14,357
80,24,base,2,editor,idle,42,0,0,0,51,0,1,0,0,0
80,24,base,2,editor,leaf,42,0,0,0,51,20,8,0,0,0
80,24,base,2,editor,full,42,0,0,6,51,42,0,0,0,0
80,24,base,2,editor,relayout,42,0,0,0,51,1,1,0,0,0
80,24,base,2,finance,idle,143,0,0,0,126,0,1,0,0,0
80,24,base,2,finance,leaf,143,0,0,1,125,26,13,0,0,0
80,24,base,2,finance,full,143,0,0,5,126,143,0,0,0,0
80,24,base,2,finance,relayout,143,0,0,0,126,1,1,0,0,0
80,24,candidate,1,dashboard,idle,144,0,0,0,96,0,1,0,0,0
80,24,candidate,1,dashboard,leaf,144,0,0,1,98,24,21,0,0,0
80,24,candidate,1,dashboard,full,144,0,0,5,96,144,0,0,0,0
80,24,candidate,1,dashboard,relayout,144,0,0,0,96,1,1,0,0,0
80,24,candidate,1,agent,idle,67,2,0,0,20,0,1,0,2,226
80,24,candidate,1,agent,leaf,67,2,0,1,23,21,6,1,1,226
80,24,candidate,1,agent,full,67,2,0,2,27,67,0,2,0,226
80,24,candidate,1,agent,relayout,67,2,0,0,21,1,1,0,2,226
80,24,candidate,1,files,idle,152,20,0,0,28,0,1,0,14,357
80,24,candidate,1,files,leaf,152,20,0,4,29,30,21,1,13,357
80,24,candidate,1,files,full,152,20,0,26,46,152,0,14,0,357
80,24,candidate,1,files,relayout,152,20,0,0,28,1,1,0,14,357
80,24,candidate,1,editor,idle,42,0,0,0,21,0,1,0,0,0
80,24,candidate,1,editor,leaf,42,0,0,0,21,20,8,0,0,0
80,24,candidate,1,editor,full,42,0,0,7,21,42,0,0,0,0
80,24,candidate,1,editor,relayout,42,0,0,0,21,1,1,0,0,0
80,24,candidate,1,finance,idle,143,0,0,0,51,0,1,0,0,0
80,24,candidate,1,finance,leaf,143,0,0,1,50,26,13,0,0,0
80,24,candidate,1,finance,full,143,0,0,4,50,143,0,0,0,0
80,24,candidate,1,finance,relayout,143,0,0,0,51,1,1,0,0,0
80,24,candidate,2,dashboard,idle,144,0,0,0,91,0,1,0,0,0
80,24,candidate,2,dashboard,leaf,144,0,0,1,91,24,21,0,0,0
80,24,candidate,2,dashboard,full,144,0,0,5,91,144,0,0,0,0
80,24,candidate,2,dashboard,relayout,144,0,0,0,91,1,1,0,0,0
80,24,candidate,2,agent,idle,67,2,0,0,21,0,1,0,2,226
80,24,candidate,2,agent,leaf,67,2,0,1,23,21,6,1,1,226
80,24,candidate,2,agent,full,67,2,0,2,28,67,0,2,0,226
80,24,candidate,2,agent,relayout,67,2,0,0,21,1,1,0,2,226
80,24,candidate,2,files,idle,152,20,0,0,28,0,1,0,14,357
80,24,candidate,2,files,leaf,152,20,0,3,29,30,21,1,13,357
80,24,candidate,2,files,full,152,20,0,25,45,152,0,14,0,357
80,24,candidate,2,files,relayout,152,20,0,0,28,1,1,0,14,357
80,24,candidate,2,editor,idle,42,0,0,0,21,0,1,0,0,0
80,24,candidate,2,editor,leaf,42,0,0,0,21,20,8,0,0,0
80,24,candidate,2,editor,full,42,0,0,6,21,42,0,0,0,0
80,24,candidate,2,editor,relayout,42,0,0,0,21,1,1,0,0,0
80,24,candidate,2,finance,idle,143,0,0,0,52,0,1,0,0,0
80,24,candidate,2,finance,leaf,143,0,0,1,52,26,13,0,0,0
80,24,candidate,2,finance,full,143,0,0,5,52,143,0,0,0,0
80,24,candidate,2,finance,relayout,143,0,0,0,52,1,1,0,0,0
120,40,base,1,dashboard,idle,144,0,0,0,312,0,1,0,0,0
120,40,base,1,dashboard,leaf,144,0,0,2,313,24,21,0,0,0
120,40,base,1,dashboard,full,144,0,0,6,313,144,0,0,0,0
120,40,base,1,dashboard,relayout,144,0,0,0,314,1,1,0,0,0
120,40,base,1,agent,idle,67,2,0,0,115,0,1,0,2,304
120,40,base,1,agent,leaf,67,2,0,1,119,21,6,1,1,304
120,40,base,1,agent,full,67,2,0,2,124,67,0,2,0,304
120,40,base,1,agent,relayout,67,2,0,0,115,1,1,0,2,304
120,40,base,1,files,idle,152,20,0,0,131,0,1,0,14,352
120,40,base,1,files,leaf,152,20,0,3,133,30,21,1,13,352
120,40,base,1,files,full,152,20,0,26,152,152,0,14,0,352
120,40,base,1,files,relayout,152,20,0,0,131,1,1,0,14,352
120,40,base,1,editor,idle,42,0,0,0,99,0,1,0,0,0
120,40,base,1,editor,leaf,42,0,0,0,99,20,8,0,0,0
120,40,base,1,editor,full,42,0,0,10,100,42,0,0,0,0
