side,app,columns,rows,frames,warmup,changed_frames,live_before_bytes,live_after_bytes,live_cells,cell_bytes
main,dashboard,120,40,400,300,400,270464,270464,4113,131616
after,dashboard,120,40,400,300,400,270464,270464,4113,131616
main,agent,120,40,400,300,400,108416,108416,1379,44128
after,agent,120,40,400,300,400,108416,108416,1379,44128
main,files,120,40,400,300,400,225296,225296,1779,56928
after,files,120,40,400,300,400,225296,225296,1779,56928
main,editor,120,40,400,300,400,88336,88336,827,26464
after,editor,120,40,400,300,400,88336,88336,827,26464
main,finance,120,40,400,300,400,384224,384224,4713,150816
after,finance,120,40,400,300,400,384224,384224,4713,150816
