columns,rows,side,run,app,mode,frames,changed_frames,render_objects,leaf_index,totalUs_median,totalUs_p95,buildUs_median,buildUs_p95,layoutUs_median,layoutUs_p95,paintUs_median,paintUs_p95,bufferPrepareUs_median,bufferPrepareUs_p95,finishUs_median,finishUs_p95
80,24,main,1,dashboard,clean,600,0,144,11,125,176,0,0,0,0,94,135,1,2,28,36
80,24,main,1,dashboard,leaf,600,600,144,11,125,165,0,0,0,0,94,125,1,2,28,35
80,24,main,1,dashboard,full,600,0,144,11,143,191,0,0,5,10,93,125,1,2,28,36
80,24,main,1,agent,clean,600,0,67,12,38,42,0,0,0,0,21,26,1,2,14,15
80,24,main,1,agent,leaf,600,600,67,12,38,43,0,0,0,0,21,26,1,1,14,15
80,24,main,1,agent,full,600,0,67,12,52,59,0,0,2,5,28,32,1,2,14,15
80,24,main,1,files,clean,600,0,152,11,49,57,0,0,0,0,29,34,1,2,18,19
80,24,main,1,files,leaf,600,600,152,11,50,56,0,0,0,0,29,33,1,2,18,19
80,24,main,1,files,full,600,0,152,11,106,134,0,0,26,32,47,54,1,2,19,20
80,24,main,1,editor,clean,600,0,42,20,36,39,0,0,0,0,22,24,1,2,12,13
80,24,main,1,editor,leaf,600,600,42,20,37,41,0,0,0,0,22,26,1,2,12,13
80,24,main,1,editor,full,600,0,42,20,46,51,0,0,7,9,21,24,1,2,12,13
80,24,main,1,finance,clean,600,0,143,12,79,90,0,0,0,0,52,59,1,2,24,25
80,24,main,1,finance,leaf,600,600,143,12,79,88,0,0,0,0,52,59,1,1,24,25
80,24,main,1,finance,full,600,0,143,12,97,109,0,0,4,8,51,59,1,1,24,25
80,24,after,1,dashboard,clean,600,0,144,11,124,163,0,0,0,0,93,123,1,2,28,34
80,24,after,1,dashboard,leaf,600,600,144,11,124,165,0,0,0,0,93,123,1,2,28,35
80,24,after,1,dashboard,full,600,0,144,11,142,190,0,0,5,9,93,122,1,2,28,34
80,24,after,1,agent,clean,600,0,67,12,36,42,0,0,0,0,20,25,1,1,14,14
80,24,after,1,agent,leaf,600,600,67,12,37,43,0,0,0,0,20,25,1,1,14,15
80,24,after,1,agent,full,600,0,67,12,51,58,0,0,2,5,27,32,1,1,14,15
80,24,after,1,files,clean,600,0,152,11,49,56,0,0,0,0,28,34,1,2,18,19
80,24,after,1,files,leaf,600,600,152,11,49,55,0,0,0,0,28,32,1,2,18,19
80,24,after,1,files,full,600,0,152,11,105,127,0,0,27,33,45,55,1,2,18,20
80,24,after,1,editor,clean,600,0,42,20,34,38,0,0,0,0,20,23,1,2,12,13
80,24,after,1,editor,leaf,600,600,42,20,35,39,0,0,0,0,20,24,1,2,12,13
80,24,after,1,editor,full,600,0,42,20,44,49,0,0,6,9,20,22,1,2,12,13
80,24,after,1,finance,clean,600,0,143,12,79,93,0,0,0,0,52,60,1,2,24,26
80,24,after,1,finance,leaf,600,600,143,12,79,96,0,0,0,0,52,61,1,2,24,27
80,24,after,1,finance,full,600,0,143,12,97,120,0,0,4,8,51,61,1,2,24,26
80,24,main,2,dashboard,clean,600,0,144,11,123,145,0,0,0,0,92,108,1,2,28,30
