kind,lines,side,run,position,columns,rows,frames,changed_frames,text_code_units,offset,max_offset,fingerprint,total_median_us,total_p95_us,paint_median_us,paint_p95_us
plain,100,base,1,top,80,24,200,200,7099,1,76,123640861,182,232,167,213
plain,100,base,1,middle,80,24,200,200,7099,39,76,989334340,185,222,170,198
plain,100,base,1,bottom,80,24,200,200,7099,76,76,376828235,180,207,165,188
plain,100,after,1,top,80,24,200,200,7099,1,76,123640861,112,146,90,118
plain,100,after,1,middle,80,24,200,200,7099,39,76,989334340,90,100,72,82
plain,100,after,1,bottom,80,24,200,200,7099,76,76,376828235,79,87,63,69
plain,100,base,2,top,80,24,200,200,7099,1,76,123640861,183,228,168,212
plain,100,base,2,middle,80,24,200,200,7099,39,76,989334340,182,211,167,183
plain,100,base,2,bottom,80,24,200,200,7099,76,76,376828235,182,210,166,190
plain,100,after,2,top,80,24,200,200,7099,1,76,123640861,79,97,64,80
plain,100,after,2,middle,80,24,200,200,7099,39,76,989334340,80,91,64,71
plain,100,after,2,bottom,80,24,200,200,7099,76,76,376828235,80,100,65,81
plain,1000,base,1,top,80,24,200,200,70999,1,976,123640861,1432,1547,1413,1525
plain,1000,base,1,middle,80,24,200,200,70999,489,976,1622728467,1395,1513,1379,1493
plain,1000,base,1,bottom,80,24,200,200,70999,976,976,2130203035,1401,1515,1379,1495
plain,1000,after,1,top,80,24,200,200,70999,1,976,123640861,80,98,64,82
plain,1000,after,1,middle,80,24,200,200,70999,489,976,1622728467,79,97,64,81
plain,1000,after,1,bottom,80,24,200,200,70999,976,976,2130203035,81,90,65,72
plain,1000,base,2,top,80,24,200,200,70999,1,976,123640861,1412,1530,1394,1507
plain,1000,base,2,middle,80,24,200,200,70999,489,976,1622728467,1395,1503,1376,1479
plain,1000,base,2,bottom,80,24,200,200,70999,976,976,2130203035,1377,1499,1358,1478
plain,1000,after,2,top,80,24,200,200,70999,1,976,123640861,77,85,62,69
plain,1000,after,2,middle,80,24,200,200,70999,489,976,1622728467,80,94,64,75
plain,1000,after,2,bottom,80,24,200,200,70999,976,976,2130203035,80,98,65,79
plain,10000,base,1,top,80,24,200,200,709999,1,9976,123640861,14044,16565,14021,16530
plain,10000,base,1,middle,80,24,200,200,709999,4989,9976,2162850316,13695,14484,13668,14446
plain,10000,base,1,bottom,80,24,200,200,709999,9976,9976,3995173739,13474,13876,13451,13848
plain,10000,after,1,top,80,24,200,200,709999,1,9976,123640861,77,94,63,74
plain,10000,after,1,middle,80,24,200,200,709999,4989,9976,2162850316,91,102,76,86
plain,10000,after,1,bottom,80,24,200,200,709999,9976,9976,3995173739,105,114,91,97
plain,10000,base,2,top,80,24,200,200,709999,1,9976,123640861,13829,14455,13808,14424
plain,10000,base,2,middle,80,24,200,200,709999,4989,9976,2162850316,13745,14288,13718,14259
plain,10000,base,2,bottom,80,24,200,200,709999,9976,9976,3995173739,13497,13963,13472,13938
plain,10000,after,2,top,80,24,200,200,709999,1,9976,123640861,77,97,63,73
plain,10000,after,2,middle,80,24,200,200,709999,4989,9976,2162850316,91,119,77,98
plain,10000,after,2,bottom,80,24,200,200,709999,9976,9976,3995173739,106,125,92,106
rich,100,base,1,top,80,24,200,200,7099,1,76,829171317,251,300,236,270
rich,100,base,1,middle,80,24,200,200,7099,39,76,240754388,244,299,229,279
rich,100,base,1,bottom,80,24,200,200,7099,76,76,2211123991,246,286,230,265
rich,100,after,1,top,80,24,200,200,7099,1,76,829171317,125,161,106,133
rich,100,after,1,middle,80,24,200,200,7099,39,76,240754388,102,117,86,101
rich,100,after,1,bottom,80,24,200,200,7099,76,76,2211123991,98,115,83,96
rich,100,base,2,top,80,24,200,200,7099,1,76,829171317,249,288,234,270
rich,100,base,2,middle,80,24,200,200,7099,39,76,240754388,245,285,230,267
rich,100,base,2,bottom,80,24,200,200,7099,76,76,2211123991,252,290,236,271
rich,100,after,2,top,80,24,200,200,7099,1,76,829171317,96,116,81,96
rich,100,after,2,middle,80,24,200,200,7099,39,76,240754388,98,115,82,96
rich,100,after,2,bottom,80,24,200,200,7099,76,76,2211123991,95,117,80,97
rich,1000,base,1,top,80,24,200,200,70999,1,976,829171317,2019,2204,2000,2166
rich,1000,base,1,middle,80,24,200,200,70999,489,976,93593147,1994,2123,1975,2091
rich,1000,base,1,bottom,80,24,200,200,70999,976,976,2284456335,1982,2116,1964,2094
rich,1000,after,1,top,80,24,200,200,70999,1,976,829171317,106,130,91,109
rich,1000,after,1,middle,80,24,200,200,70999,489,976,93593147,99,125,84,102
rich,1000,after,1,bottom,80,24,200,200,70999,976,976,2284456335,98,120,84,100
rich,1000,base,2,top,80,24,200,200,70999,1,976,829171317,2032,2192,2012,2169
rich,1000,base,2,middle,80,24,200,200,70999,489,976,93593147,1990,2148,1968,2124
rich,1000,base,2,bottom,80,24,200,200,70999,976,976,2284456335,1995,2120,1974,2101
rich,1000,after,2,top,80,24,200,200,70999,1,976,829171317,105,126,89,104
rich,1000,after,2,middle,80,24,200,200,70999,489,976,93593147,97,117,82,102
rich,1000,after,2,bottom,80,24,200,200,70999,976,976,2284456335,101,119,85,101
rich,10000,base,1,top,80,24,200,200,709999,1,9976,829171317,19565,20200,19539,20168
rich,10000,base,1,middle,80,24,200,200,709999,4989,9976,1998165364,20100,30702,20065,30666
rich,10000,base,1,bottom,80,24,200,200,709999,9976,9976,3239033287,19362,20810,19332,20775
rich,10000,after,1,top,80,24,200,200,709999,1,9976,829171317,98,119,82,98
rich,10000,after,1,middle,80,24,200,200,709999,4989,9976,1998165364,110,141,95,117
rich,10000,after,1,bottom,80,24,200,200,709999,9976,9976,3239033287,124,167,109,140
rich,10000,base,2,top,80,24,200,200,709999,1,9976,829171317,19757,20395,19714,20362
rich,10000,base,2,middle,80,24,200,200,709999,4989,9976,1998165364,19686,21608,19656,21573
rich,10000,base,2,bottom,80,24,200,200,709999,9976,9976,3239033287,19337,20825,19304,20789
rich,10000,after,2,top,80,24,200,200,709999,1,9976,829171317,95,117,81,92
rich,10000,after,2,middle,80,24,200,200,709999,4989,9976,1998165364,110,136,95,121
rich,10000,after,2,bottom,80,24,200,200,709999,9976,9976,3239033287,125,150,110,133
