kind,lines,side,run,position,columns,rows,selected,frames,changed_frames,text_code_units,offset,max_offset,fingerprint,total_median_us,total_p95_us,paint_median_us,paint_p95_us
plain,100,base,1,top,80,24,True,200,200,7099,1,76,2086052503,2228,2386,2202,2356
plain,100,base,1,middle,80,24,True,200,200,7099,39,76,472404062,2179,2345,2153,2311
plain,100,base,1,bottom,80,24,True,200,200,7099,76,76,1685921737,2169,2375,2138,2343
plain,100,after,1,top,80,24,True,200,200,7099,1,76,2086052503,87,106,65,84
plain,100,after,1,middle,80,24,True,200,200,7099,39,76,472404062,81,88,60,67
plain,100,after,1,bottom,80,24,True,200,200,7099,76,76,1685921737,82,89,62,67
plain,100,base,2,top,80,24,True,200,200,7099,1,76,2086052503,2169,2350,2138,2323
plain,100,base,2,middle,80,24,True,200,200,7099,39,76,472404062,2165,2338,2137,2314
plain,100,base,2,bottom,80,24,True,200,200,7099,76,76,1685921737,2174,2350,2140,2315
plain,100,after,2,top,80,24,True,200,200,7099,1,76,2086052503,87,111,66,86
plain,100,after,2,middle,80,24,True,200,200,7099,39,76,472404062,79,89,60,69
plain,100,after,2,bottom,80,24,True,200,200,7099,76,76,1685921737,82,91,62,70
plain,1000,base,1,top,80,24,True,200,200,70999,1,976,2086052503,19996,20328,19959,20295
plain,1000,base,1,middle,80,24,True,200,200,70999,489,976,678030297,20006,20794,19966,20761
plain,1000,base,1,bottom,80,24,True,200,200,70999,976,976,77884453,19994,20609,19961,20556
plain,1000,after,1,top,80,24,True,200,200,70999,1,976,2086052503,93,104,72,83
plain,1000,after,1,middle,80,24,True,200,200,70999,489,976,678030297,93,111,73,91
plain,1000,after,1,bottom,80,24,True,200,200,70999,976,976,77884453,94,102,74,81
plain,1000,base,2,top,80,24,True,200,200,70999,1,976,2086052503,20012,20689,19978,20633
plain,1000,base,2,middle,80,24,True,200,200,70999,489,976,678030297,20005,20463,19970,20427
plain,1000,base,2,bottom,80,24,True,200,200,70999,976,976,77884453,20048,20841,20000,20798
plain,1000,after,2,top,80,24,True,200,200,70999,1,976,2086052503,92,114,72,89
plain,1000,after,2,middle,80,24,True,200,200,70999,489,976,678030297,94,105,74,82
plain,1000,after,2,bottom,80,24,True,200,200,70999,976,976,77884453,93,107,74,83
rich,100,base,1,top,80,24,True,200,200,7099,1,76,2092068687,2190,2347,2158,2316
rich,100,base,1,middle,80,24,True,200,200,7099,39,76,1545874350,2184,2370,2149,2333
rich,100,base,1,bottom,80,24,True,200,200,7099,76,76,1791065789,2202,2353,2168,2312
rich,100,after,1,top,80,24,True,200,200,7099,1,76,2092068687,108,126,86,99
rich,100,after,1,middle,80,24,True,200,200,7099,39,76,1545874350,108,132,86,105
rich,100,after,1,bottom,80,24,True,200,200,7099,76,76,1791065789,108,117,85,95
rich,100,base,2,top,80,24,True,200,200,7099,1,76,2092068687,2191,2368,2154,2327
rich,100,base,2,middle,80,24,True,200,200,7099,39,76,1545874350,2190,2358,2152,2332
rich,100,base,2,bottom,80,24,True,200,200,7099,76,76,1791065789,2189,2345,2157,2303
rich,100,after,2,top,80,24,True,200,200,7099,1,76,2092068687,110,131,87,108
rich,100,after,2,middle,80,24,True,200,200,7099,39,76,1545874350,108,122,86,94
rich,100,after,2,bottom,80,24,True,200,200,7099,76,76,1791065789,109,117,86,93
rich,1000,base,1,top,80,24,True,200,200,70999,1,976,2092068687,20020,20619,19975,20566
rich,1000,base,1,middle,80,24,True,200,200,70999,489,976,757377193,20040,20411,19998,20349
rich,1000,base,1,bottom,80,24,True,200,200,70999,976,976,3884418409,20033,20383,19995,20336
rich,1000,after,1,top,80,24,True,200,200,70999,1,976,2092068687,128,147,105,118
rich,1000,after,1,middle,80,24,True,200,200,70999,489,976,757377193,118,134,96,106
rich,1000,after,1,bottom,80,24,True,200,200,70999,976,976,3884418409,119,138,97,109
rich,1000,base,2,top,80,24,True,200,200,70999,1,976,2092068687,20107,22266,20058,22195
rich,1000,base,2,middle,80,24,True,200,200,70999,489,976,757377193,19954,20373,19911,20344
rich,1000,base,2,bottom,80,24,True,200,200,70999,976,976,3884418409,19955,20515,19913,20458
rich,1000,after,2,top,80,24,True,200,200,70999,1,976,2092068687,127,144,104,118
rich,1000,after,2,middle,80,24,True,200,200,70999,489,976,757377193,118,129,96,105
rich,1000,after,2,bottom,80,24,True,200,200,70999,976,976,3884418409,122,161,99,124
