variant,run,app,mode,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
before,1,dashboard,idle,0,0,208,0,1,0,0,0
before,1,dashboard,leaf,0,1,209,24,21,0,0,0
before,1,dashboard,full,0,6,207,144,0,0,0,0
before,1,dashboard,relayout,0,0,207,1,1,0,0,0
before,1,agent,idle,0,0,45,0,1,0,2,304
before,1,agent,leaf,0,1,48,21,6,1,1,304
before,1,agent,full,0,2,52,67,0,2,0,304
before,1,agent,relayout,0,0,45,1,1,0,2,304
before,1,files,idle,0,0,61,0,1,0,14,352
before,1,files,leaf,0,3,62,30,21,1,13,352
before,1,files,full,0,26,80,152,0,14,0,352
before,1,files,relayout,0,0,61,1,1,0,14,352
before,1,editor,idle,0,0,34,0,1,0,0,0
before,1,editor,leaf,0,0,34,20,8,0,0,0
before,1,editor,full,0,10,34,42,0,0,0,0
before,1,editor,relayout,0,0,34,1,1,0,0,0
before,1,finance,idle,0,0,200,0,1,0,0,0
before,1,finance,leaf,0,1,200,25,19,0,0,0
before,1,finance,full,0,11,200,283,0,0,0,0
before,1,finance,relayout,0,0,199,1,1,0,0,0
before,2,dashboard,idle,0,0,205,0,1,0,0,0
before,2,dashboard,leaf,0,2,207,24,21,0,0,0
before,2,dashboard,full,0,6,206,144,0,0,0,0
before,2,dashboard,relayout,0,0,205,1,1,0,0,0
before,2,agent,idle,0,0,46,0,1,0,2,304
before,2,agent,leaf,0,1,49,21,6,1,1,304
before,2,agent,full,0,2,53,67,0,2,0,304
before,2,agent,relayout,0,0,46,1,1,0,2,304
before,2,files,idle,0,0,60,0,1,0,14,352
before,2,files,leaf,0,4,62,30,21,1,13,352
before,2,files,full,0,26,78,152,0,14,0,352
before,2,files,relayout,0,0,60,1,1,0,14,352
before,2,editor,idle,0,0,34,0,1,0,0,0
before,2,editor,leaf,0,0,34,20,8,0,0,0
before,2,editor,full,0,10,34,42,0,0,0,0
before,2,editor,relayout,0,0,34,1,1,0,0,0
before,2,finance,idle,0,0,198,0,1,0,0,0
before,2,finance,leaf,0,1,198,25,19,0,0,0
before,2,finance,full,0,11,199,283,0,0,0,0
before,2,finance,relayout,0,0,198,1,1,0,0,0
after,1,dashboard,idle,0,0,171,0,1,0,0,0
after,1,dashboard,leaf,0,1,171,24,21,0,0,0
after,1,dashboard,full,0,5,171,144,0,0,0,0
after,1,dashboard,relayout,0,0,171,1,1,0,0,0
after,1,agent,idle,0,0,37,0,1,0,2,304
after,1,agent,leaf,0,1,39,21,6,1,1,304
after,1,agent,full,0,2,44,67,0,2,0,304
after,1,agent,relayout,0,0,37,1,1,0,2,304
after,1,files,idle,0,0,49,0,1,0,14,352
after,1,files,leaf,0,3,51,30,21,1,13,352
after,1,files,full,0,26,68,152,0,14,0,352
after,1,files,relayout,0,0,50,1,1,0,14,352
after,1,editor,idle,0,0,34,0,1,0,0,0
after,1,editor,leaf,0,0,34,20,8,0,0,0
after,1,editor,full,0,10,34,42,0,0,0,0
after,1,editor,relayout,0,0,34,1,1,0,0,0
after,1,finance,idle,0,0,153,0,1,0,0,0
after,1,finance,leaf,0,1,152,25,19,0,0,0
after,1,finance,full,0,11,154,283,0,0,0,0
after,1,finance,relayout,0,0,153,1,1,0,0,0
after,2,dashboard,idle,0,0,174,0,1,0,0,0
after,2,dashboard,leaf,0,2,172,24,21,0,0,0
after,2,dashboard,full,0,6,173,144,0,0,0,0
after,2,dashboard,relayout,0,0,173,1,1,0,0,0
after,2,agent,idle,0,0,38,0,1,0,2,304
after,2,agent,leaf,0,1,40,21,6,1,1,304
after,2,agent,full,0,2,45,67,0,2,0,304
after,2,agent,relayout,0,0,38,1,1,0,2,304
after,2,files,idle,0,0,50,0,1,0,14,352
after,2,files,leaf,0,4,51,30,21,1,13,352
after,2,files,full,0,26,68,152,0,14,0,352
after,2,files,relayout,0,0,49,1,1,0,14,352
after,2,editor,idle,0,0,35,0,1,0,0,0
after,2,editor,leaf,0,0,36,20,8,0,0,0
after,2,editor,full,0,10,35,42,0,0,0,0
after,2,editor,relayout,0,0,36,1,1,0,0,0
after,2,finance,idle,0,0,155,0,1,0,0,0
after,2,finance,leaf,0,1,156,25,19,0,0,0
after,2,finance,full,0,12,156,283,0,0,0,0
after,2,finance,relayout,0,0,154,1,1,0,0,0
