scenario,mode,iterations,medianUs,p95Us,changedFrames,pair,variant
dashboard,mount-first-frame,120,637,782,120,0,base
agent,mount-first-frame,120,166,240,120,0,base
files,mount-first-frame,120,342,504,120,0,base
editor,mount-first-frame,120,153,206,120,0,base
finance,mount-first-frame,120,22947,23653,120,0,base
board-16-keyed-false,one-label,120,37,38,120,0,base
board-16-keyed-false,all-labels,120,154,199,120,0,base
board-16-keyed-false,reverse,120,158,199,120,0,base
board-16-keyed-false,replace-subtree,120,154,195,120,0,base
board-16-keyed-true,one-label,120,47,54,120,0,base
board-16-keyed-true,all-labels,120,105,128,120,0,base
board-16-keyed-true,reverse,120,51,54,120,0,base
board-16-keyed-true,replace-subtree,120,185,227,120,0,base
board-64-keyed-false,one-label,120,85,98,120,0,base
board-64-keyed-false,all-labels,120,749,915,120,0,base
board-64-keyed-false,reverse,120,750,935,120,0,base
board-64-keyed-false,replace-subtree,120,1417,1646,120,0,base
board-64-keyed-true,one-label,120,135,168,120,0,base
board-64-keyed-true,all-labels,120,360,501,120,0,base
board-64-keyed-true,reverse,120,152,194,120,0,base
board-64-keyed-true,replace-subtree,120,1570,1900,120,0,base
board-256-keyed-false,one-label,120,261,398,120,0,base
board-256-keyed-false,all-labels,120,5893,6958,120,0,base
board-256-keyed-false,reverse,120,5764,6284,120,0,base
board-256-keyed-false,replace-subtree,120,20666,21567,120,0,base
board-256-keyed-true,one-label,120,449,692,120,0,base
board-256-keyed-true,all-labels,120,1436,1776,120,0,base
board-256-keyed-true,reverse,120,514,852,120,0,base
board-256-keyed-true,replace-subtree,120,21425,22655,120,0,base
dashboard,mount-first-frame,120,552,1040,120,0,batch
agent,mount-first-frame,120,147,283,120,0,batch
files,mount-first-frame,120,340,565,120,0,batch
editor,mount-first-frame,120,134,205,120,0,batch
finance,mount-first-frame,120,22918,23677,120,0,batch
board-16-keyed-false,one-label,120,39,42,120,0,batch
board-16-keyed-false,all-labels,120,158,209,120,0,batch
board-16-keyed-false,reverse,120,170,213,120,0,batch
