scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
dashboard,mount-first-frame,160,454,631,160,terminal,,0,base,,,,,,,,
agent,mount-first-frame,160,167,253,160,terminal,,0,base,,,,,,,,
files,mount-first-frame,160,349,592,160,terminal,,0,base,,,,,,,,
editor,mount-first-frame,160,150,213,160,terminal,,0,base,,,,,,,,
finance,mount-first-frame,160,546,775,160,terminal,,0,base,,,,,,,,
board-16-keyed-false,one-label,160,40,66,160,terminal,1359462507,0,base,13,0,7,0,0,0,0,0
board-16-keyed-false,all-labels,160,156,200,160,terminal,1359462507,0,base,130,0,7,0,0,0,0,0
board-16-keyed-false,reverse,160,159,212,160,terminal,1359462507,0,base,131,1,7,0,0,0,0,0
board-16-keyed-false,replace-subtree,160,157,208,160,terminal,1359462507,0,base,116,1,8,0,0,0,0,0
board-16-keyed-true,one-label,160,48,63,160,terminal,1359462507,0,base,23,0,6,0,0,0,0,0
board-16-keyed-true,all-labels,160,102,135,160,terminal,1359462507,0,base,76,0,7,0,0,0,0,0
board-16-keyed-true,reverse,160,52,66,160,terminal,1359462507,0,base,25,0,7,0,0,0,0,0
board-16-keyed-true,replace-subtree,160,187,261,160,terminal,1359462507,0,base,145,1,8,0,0,0,0,0
board-64-keyed-false,one-label,160,88,115,160,terminal,251641503,0,base,28,0,37,0,0,0,0,0
board-64-keyed-false,all-labels,160,772,1030,160,terminal,251641503,0,base,704,0,39,0,0,0,0,0
board-64-keyed-false,reverse,160,783,1032,160,terminal,251641503,0,base,710,4,40,0,0,0,0,0
board-64-keyed-false,replace-subtree,160,1465,1827,160,terminal,251641503,0,base,1379,6,45,0,0,0,0,0
board-64-keyed-true,one-label,160,146,194,160,terminal,251641503,0,base,85,0,37,0,0,0,0,0
board-64-keyed-true,all-labels,160,379,519,160,terminal,251641503,0,base,316,0,38,0,0,0,0,0
board-64-keyed-true,reverse,160,156,190,160,terminal,251641503,0,base,89,2,38,0,0,0,0,0
board-64-keyed-true,replace-subtree,160,1618,1949,160,terminal,251641503,0,base,1527,6,45,0,0,0,0,0
board-256-keyed-false,one-label,160,269,392,160,terminal,251641503,0,base,102,0,142,0,0,0,0,0
board-256-keyed-false,all-labels,160,5867,6347,160,terminal,251641503,0,base,5671,0,163,0,0,0,0,0
