scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-16-keyed-false,one-label,120,147,298,120,structured,1359462507,0,after,18,0,6,95,61,12,4,7
board-16-keyed-false,all-labels,120,683,930,120,structured,1359462507,0,after,205,0,6,325,62,25,6,93
board-16-keyed-false,reverse,120,721,877,120,structured,1359462507,0,after,201,1,54,326,61,24,5,92
board-16-keyed-false,replace-subtree,120,421,543,120,structured,1359462507,0,after,63,2,6,229,63,24,5,132
board-16-keyed-true,one-label,120,119,157,120,structured,1359462507,0,after,25,0,6,61,32,13,4,6
board-16-keyed-true,all-labels,120,408,513,120,structured,1359462507,0,after,103,0,6,194,30,24,5,80
board-16-keyed-true,reverse,120,378,505,120,structured,1359462507,0,after,27,0,32,213,30,24,5,99
board-16-keyed-true,replace-subtree,120,359,494,120,structured,1359462507,0,after,74,2,6,167,32,24,5,104
board-64-keyed-false,one-label,120,387,532,120,structured,251641503,0,after,34,0,33,286,235,15,17,7
board-64-keyed-false,all-labels,120,2766,2995,120,structured,251641503,0,after,1086,0,37,1353,244,48,22,341
board-64-keyed-false,reverse,120,2852,3186,120,structured,251641503,0,after,1077,4,90,1376,245,49,23,345
board-64-keyed-false,replace-subtree,120,1651,1947,120,structured,251641503,0,after,524,7,36,823,253,47,22,492
board-64-keyed-true,one-label,120,313,444,120,structured,251641503,0,after,83,0,33,163,117,16,17,6
board-64-keyed-true,all-labels,120,1439,1848,120,structured,251641503,0,after,433,0,34,719,121,47,21,292
board-64-keyed-true,reverse,120,1329,1710,120,structured,251641503,0,after,103,3,145,818,127,49,26,364
board-64-keyed-true,replace-subtree,120,1453,1758,120,structured,251641503,0,after,572,7,36,587,129,46,21,385
board-256-keyed-false,one-label,120,1339,1669,120,structured,251641503,0,after,103,0,112,1083,951,26,69,8
board-256-keyed-false,all-labels,120,16899,17601,120,structured,251641503,0,after,8354,0,134,8170,1023,64,106,1343
board-256-keyed-false,reverse,120,17906,18635,120,structured,251641503,0,after,8591,39,571,8323,1047,65,111,1352
board-256-keyed-false,replace-subtree,120,10828,11956,120,structured,251641503,0,after,6891,49,138,3412,1079,63,108,2097
board-256-keyed-true,one-label,120,1058,1499,120,structured,251641503,0,after,318,0,112,579,470,25,69,7
board-256-keyed-true,all-labels,120,5144,6351,120,structured,251641503,0,after,1836,0,126,2787,492,61,92,1119
board-256-keyed-true,reverse,120,2515,3139,120,structured,251641503,0,after,396,13,261,1554,499,61,81,585
board-256-keyed-true,replace-subtree,120,10001,12230,120,structured,251641503,0,after,7194,51,142,2341,560,62,109,1556
board-16-keyed-false,one-label,120,163,259,120,structured,1359462507,0,coalesced,7,0,7,111,78,16,5,9
board-16-keyed-false,all-labels,120,325,430,120,structured,1359462507,0,coalesced,15,0,6,197,64,25,5,93
