scenario,mode,iterations,medianUs,p95Us,changedFrames,pair,variant
dashboard,mount-first-frame,120,486,742,120,0,batch
agent,mount-first-frame,120,145,221,120,0,batch
files,mount-first-frame,120,329,524,120,0,batch
editor,mount-first-frame,120,140,276,120,0,batch
finance,mount-first-frame,120,23448,24626,120,0,batch
board-16-keyed-false,one-label,120,39,45,120,0,batch
board-16-keyed-false,all-labels,120,159,205,120,0,batch
board-16-keyed-false,reverse,120,160,210,120,0,batch
board-16-keyed-false,replace-subtree,120,98,119,120,0,batch
board-16-keyed-true,one-label,120,47,52,120,0,batch
board-16-keyed-true,all-labels,120,102,121,120,0,batch
board-16-keyed-true,reverse,120,51,55,120,0,batch
board-16-keyed-true,replace-subtree,120,113,144,120,0,batch
board-64-keyed-false,one-label,120,84,117,120,0,batch
board-64-keyed-false,all-labels,120,767,961,120,0,batch
board-64-keyed-false,reverse,120,760,952,120,0,batch
board-64-keyed-false,replace-subtree,120,567,816,120,0,batch
board-64-keyed-true,one-label,120,137,166,120,0,batch
board-64-keyed-true,all-labels,120,364,503,120,0,batch
board-64-keyed-true,reverse,120,154,240,120,0,batch
board-64-keyed-true,replace-subtree,120,628,910,120,0,batch
board-256-keyed-false,one-label,120,249,332,120,0,batch
board-256-keyed-false,all-labels,120,5837,6265,120,0,batch
board-256-keyed-false,reverse,120,5825,6300,120,0,batch
board-256-keyed-false,replace-subtree,120,6950,7595,120,0,batch
board-256-keyed-true,one-label,120,451,548,120,0,batch
board-256-keyed-true,all-labels,120,1413,1800,120,0,batch
board-256-keyed-true,reverse,120,500,896,120,0,batch
board-256-keyed-true,replace-subtree,120,7188,7975,120,0,batch
dashboard,mount-first-frame,120,513,703,120,0,semantic
agent,mount-first-frame,120,132,192,120,0,semantic
files,mount-first-frame,120,312,551,120,0,semantic
editor,mount-first-frame,120,140,189,120,0,semantic
finance,mount-first-frame,120,24542,30389,120,0,semantic
board-16-keyed-false,one-label,120,31,31,120,0,semantic
board-16-keyed-false,all-labels,120,40,47,120,0,semantic
board-16-keyed-false,reverse,120,42,53,120,0,semantic
board-16-keyed-false,replace-subtree,120,100,130,120,0,semantic
board-16-keyed-true,one-label,120,45,48,120,0,semantic
board-16-keyed-true,all-labels,120,57,91,120,0,semantic
board-16-keyed-true,reverse,120,48,75,120,0,semantic
board-16-keyed-true,replace-subtree,120,114,150,120,0,semantic
board-64-keyed-false,one-label,120,77,107,120,0,semantic
board-64-keyed-false,all-labels,120,114,164,120,0,semantic
board-64-keyed-false,reverse,120,118,175,120,0,semantic
board-64-keyed-false,replace-subtree,120,570,799,120,0,semantic
board-64-keyed-true,one-label,120,139,234,120,0,semantic
board-64-keyed-true,all-labels,120,174,279,120,0,semantic
board-64-keyed-true,reverse,120,148,210,120,0,semantic
board-64-keyed-true,replace-subtree,120,656,971,120,0,semantic
board-256-keyed-false,one-label,120,241,374,120,0,semantic
board-256-keyed-false,all-labels,120,357,435,120,0,semantic
board-256-keyed-false,reverse,120,399,665,120,0,semantic
board-256-keyed-false,replace-subtree,120,7087,7998,120,0,semantic
board-256-keyed-true,one-label,120,462,648,120,0,semantic
board-256-keyed-true,all-labels,120,611,902,120,0,semantic
board-256-keyed-true,reverse,120,513,773,120,0,semantic
board-256-keyed-true,replace-subtree,120,7396,8226,120,0,semantic
dashboard,mount-first-frame,120,513,782,120,1,semantic
agent,mount-first-frame,120,134,192,120,1,semantic
files,mount-first-frame,120,311,499,120,1,semantic
editor,mount-first-frame,120,140,293,120,1,semantic
finance,mount-first-frame,120,23424,24126,120,1,semantic
board-16-keyed-false,one-label,120,32,44,120,1,semantic
board-16-keyed-false,all-labels,120,39,44,120,1,semantic
board-16-keyed-false,reverse,120,41,42,120,1,semantic
board-16-keyed-false,replace-subtree,120,99,114,120,1,semantic
board-16-keyed-true,one-label,120,45,47,120,1,semantic
board-16-keyed-true,all-labels,120,54,71,120,1,semantic
board-16-keyed-true,reverse,120,48,57,120,1,semantic
board-16-keyed-true,replace-subtree,120,114,154,120,1,semantic
board-64-keyed-false,one-label,120,74,85,120,1,semantic
board-64-keyed-false,all-labels,120,111,147,120,1,semantic
board-64-keyed-false,reverse,120,115,150,120,1,semantic
board-64-keyed-false,replace-subtree,120,570,728,120,1,semantic
board-64-keyed-true,one-label,120,137,190,120,1,semantic
board-64-keyed-true,all-labels,120,167,235,120,1,semantic
board-64-keyed-true,reverse,120,148,188,120,1,semantic
board-64-keyed-true,replace-subtree,120,636,893,120,1,semantic
board-256-keyed-false,one-label,120,230,279,120,1,semantic
board-256-keyed-false,all-labels,120,346,431,120,1,semantic
board-256-keyed-false,reverse,120,384,494,120,1,semantic
board-256-keyed-false,replace-subtree,120,6912,7643,120,1,semantic
board-256-keyed-true,one-label,120,453,570,120,1,semantic
board-256-keyed-true,all-labels,120,583,902,120,1,semantic
board-256-keyed-true,reverse,120,520,810,120,1,semantic
board-256-keyed-true,replace-subtree,120,7310,8251,120,1,semantic
dashboard,mount-first-frame,120,501,735,120,1,batch
agent,mount-first-frame,120,151,264,120,1,batch
files,mount-first-frame,120,332,524,120,1,batch
editor,mount-first-frame,120,135,214,120,1,batch
finance,mount-first-frame,120,23618,24915,120,1,batch
board-16-keyed-false,one-label,120,39,54,120,1,batch
board-16-keyed-false,all-labels,120,161,211,120,1,batch
board-16-keyed-false,reverse,120,161,214,120,1,batch
board-16-keyed-false,replace-subtree,120,100,148,120,1,batch
board-16-keyed-true,one-label,120,48,70,120,1,batch
board-16-keyed-true,all-labels,120,102,120,120,1,batch
board-16-keyed-true,reverse,120,51,63,120,1,batch
board-16-keyed-true,replace-subtree,120,116,167,120,1,batch
board-64-keyed-false,one-label,120,84,120,120,1,batch
board-64-keyed-false,all-labels,120,763,939,120,1,batch
board-64-keyed-false,reverse,120,757,956,120,1,batch
board-64-keyed-false,replace-subtree,120,566,794,120,1,batch
board-64-keyed-true,one-label,120,138,167,120,1,batch
board-64-keyed-true,all-labels,120,367,483,120,1,batch
board-64-keyed-true,reverse,120,151,181,120,1,batch
board-64-keyed-true,replace-subtree,120,628,853,120,1,batch
board-256-keyed-false,one-label,120,254,328,120,1,batch
board-256-keyed-false,all-labels,120,5792,6231,120,1,batch
board-256-keyed-false,reverse,120,5783,6254,120,1,batch
board-256-keyed-false,replace-subtree,120,6936,7556,120,1,batch
board-256-keyed-true,one-label,120,458,577,120,1,batch
board-256-keyed-true,all-labels,120,1414,1960,120,1,batch
board-256-keyed-true,reverse,120,506,684,120,1,batch
board-256-keyed-true,replace-subtree,120,7290,9292,120,1,batch
dashboard,mount-first-frame,120,499,773,120,2,batch
agent,mount-first-frame,120,141,216,120,2,batch
files,mount-first-frame,120,326,512,120,2,batch
editor,mount-first-frame,120,138,217,120,2,batch
finance,mount-first-frame,120,24621,27975,120,2,batch
board-16-keyed-false,one-label,120,38,42,120,2,batch
board-16-keyed-false,all-labels,120,163,274,120,2,batch
board-16-keyed-false,reverse,120,167,265,120,2,batch
board-16-keyed-false,replace-subtree,120,101,168,120,2,batch
board-16-keyed-true,one-label,120,48,58,120,2,batch
board-16-keyed-true,all-labels,120,103,136,120,2,batch
board-16-keyed-true,reverse,120,53,155,120,2,batch
board-16-keyed-true,replace-subtree,120,117,201,120,2,batch
board-64-keyed-false,one-label,120,88,139,120,2,batch
board-64-keyed-false,all-labels,120,777,1135,120,2,batch
board-64-keyed-false,reverse,120,804,1079,120,2,batch
