changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,,160,495,mount-first-frame,647,0,,,,,,,,,dashboard,terminal,base
160,,160,173,mount-first-frame,251,0,,,,,,,,,agent,terminal,base
160,,160,360,mount-first-frame,522,0,,,,,,,,,files,terminal,base
160,,160,176,mount-first-frame,254,0,,,,,,,,,editor,terminal,base
160,,160,619,mount-first-frame,849,0,,,,,,,,,finance,terminal,base
160,1359462507,160,31,one-label,33,0,5,0,0,6,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,39,all-labels,45,0,13,0,0,6,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,42,reverse,43,0,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,101,replace-subtree,130,0,60,0,1,8,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,45,one-label,48,0,19,0,0,6,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,55,all-labels,61,0,29,0,0,6,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,51,reverse,57,0,22,0,0,7,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,118,replace-subtree,154,0,77,0,1,8,0,0,0,0,board-16-keyed-true,terminal,base
160,251641503,160,77,one-label,90,0,18,0,0,36,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,115,all-labels,131,0,53,0,0,37,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,117,reverse,133,0,53,0,3,38,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,577,replace-subtree,759,0,506,0,7,42,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,138,one-label,186,0,78,0,0,38,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,175,all-labels,196,0,113,0,0,39,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,154,reverse,182,0,86,0,2,39,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,639,replace-subtree,837,0,565,0,7,42,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,244,one-label,305,0,78,0,0,142,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,365,all-labels,435,0,209,0,0,132,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,407,reverse,498,0,218,0,23,135,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,7084,replace-subtree,7551,0,6833,0,39,156,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,455,one-label,626,0,302,0,0,127,0,0,0,0,board-256-keyed-true,terminal,base
160,251641503,160,594,all-labels,843,0,438,0,0,131,0,0,0,0,board-256-keyed-true,terminal,base
160,251641503,160,511,reverse,723,0,335,0,8,132,0,0,0,0,board-256-keyed-true,terminal,base
160,251641503,160,7354,replace-subtree,8090,0,7109,0,38,153,0,0,0,0,board-256-keyed-true,terminal,base
160,,160,483,mount-first-frame,637,0,,,,,,,,,dashboard,terminal,removal
160,,160,169,mount-first-frame,210,0,,,,,,,,,agent,terminal,removal
160,,160,358,mount-first-frame,483,0,,,,,,,,,files,terminal,removal
160,,160,174,mount-first-frame,246,0,,,,,,,,,editor,terminal,removal
160,,160,619,mount-first-frame,731,0,,,,,,,,,finance,terminal,removal
160,1359462507,160,31,one-label,36,0,5,0,0,6,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,39,all-labels,45,0,13,0,0,6,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,42,reverse,46,0,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,removal
