changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,1359462507,160,130,one-label,207,0,6,13,0,7,4,7,62,89,board-16-keyed-false,structured,base
160,1359462507,160,314,all-labels,432,0,15,24,0,7,5,92,62,188,board-16-keyed-false,structured,base
160,1359462507,160,319,reverse,448,0,15,24,1,7,5,91,62,186,board-16-keyed-false,structured,base
160,1359462507,160,427,replace-subtree,552,0,63,24,2,8,5,133,64,231,board-16-keyed-false,structured,base
160,1359462507,160,111,one-label,139,0,20,13,0,7,4,6,31,56,board-16-keyed-true,structured,base
160,1359462507,160,282,all-labels,396,0,28,24,0,7,5,81,32,144,board-16-keyed-true,structured,base
160,1359462507,160,303,reverse,430,0,23,25,0,7,5,103,33,169,board-16-keyed-true,structured,base
160,1359462507,160,366,replace-subtree,518,0,76,24,2,8,5,105,34,170,board-16-keyed-true,structured,base
160,251641503,160,381,one-label,552,0,19,16,0,38,18,7,242,286,board-64-keyed-false,structured,base
160,251641503,160,989,all-labels,1277,0,56,47,0,39,21,338,248,667,board-64-keyed-false,structured,base
160,251641503,160,1016,reverse,1228,0,59,47,4,41,22,341,251,673,board-64-keyed-false,structured,base
160,251641503,160,1682,replace-subtree,1971,0,527,47,7,43,23,503,255,836,board-64-keyed-false,structured,base
160,251641503,160,308,one-label,416,0,78,16,0,37,17,6,121,163,board-64-keyed-true,structured,base
160,251641503,160,878,all-labels,1070,0,116,48,0,38,21,296,128,497,board-64-keyed-true,structured,base
160,251641503,160,928,reverse,1132,0,88,48,2,41,24,353,130,560,board-64-keyed-true,structured,base
160,251641503,160,1496,replace-subtree,1830,0,586,48,7,44,22,396,135,608,board-64-keyed-true,structured,base
160,251641503,160,1400,one-label,1605,0,83,27,0,143,73,10,1000,1118,board-256-keyed-false,structured,base
160,251641503,160,3253,all-labels,3734,0,253,60,0,146,100,1337,1045,2599,board-256-keyed-false,structured,base
160,251641503,160,3410,reverse,3970,0,263,61,26,151,108,1364,1082,2696,board-256-keyed-false,structured,base
160,251641503,160,10780,replace-subtree,11623,0,6853,59,41,159,107,2114,1041,3375,board-256-keyed-false,structured,base
160,251641503,160,1089,one-label,1431,0,317,26,0,129,71,7,483,594,board-256-keyed-true,structured,base
160,251641503,160,2685,all-labels,3111,0,490,59,0,141,95,1075,530,1805,board-256-keyed-true,structured,base
160,251641503,160,1979,reverse,2499,0,360,58,9,140,81,564,491,1218,board-256-keyed-true,structured,base
160,251641503,160,9971,replace-subtree,10999,0,6986,58,40,160,105,1676,536,2411,board-256-keyed-true,structured,base
160,1359462507,160,128,one-label,254,0,6,13,0,7,4,5,63,87,board-16-keyed-false,structured,json
160,1359462507,160,308,all-labels,509,0,16,25,0,7,5,71,65,171,board-16-keyed-false,structured,json
160,1359462507,160,311,reverse,462,0,16,25,1,8,6,71,65,171,board-16-keyed-false,structured,json
160,1359462507,160,428,replace-subtree,573,0,69,25,2,9,6,113,68,216,board-16-keyed-false,structured,json
160,1359462507,160,112,one-label,189,0,21,13,0,7,4,5,32,56,board-16-keyed-true,structured,json
160,1359462507,160,264,all-labels,423,0,30,25,0,7,5,58,33,123,board-16-keyed-true,structured,json
160,1359462507,160,276,reverse,448,0,23,25,0,7,5,77,33,142,board-16-keyed-true,structured,json
160,1359462507,160,348,replace-subtree,553,0,78,25,2,8,5,80,34,146,board-16-keyed-true,structured,json
160,251641503,160,370,one-label,531,0,19,16,0,38,17,5,240,280,board-64-keyed-false,structured,json
160,251641503,160,892,all-labels,1149,0,56,47,0,39,21,257,246,573,board-64-keyed-false,structured,json
160,251641503,160,909,reverse,1195,0,57,47,3,40,21,259,247,579,board-64-keyed-false,structured,json
160,251641503,160,1610,replace-subtree,1926,0,535,47,7,45,23,424,258,763,board-64-keyed-false,structured,json
160,251641503,160,306,one-label,417,0,77,16,0,37,17,5,120,160,board-64-keyed-true,structured,json
160,251641503,160,783,all-labels,1001,0,113,47,0,38,20,211,124,404,board-64-keyed-true,structured,json
160,251641503,160,822,reverse,1065,0,87,47,2,40,23,262,125,464,board-64-keyed-true,structured,json
160,251641503,160,1431,replace-subtree,1811,0,596,48,7,45,24,311,136,522,board-64-keyed-true,structured,json
160,251641503,160,1378,one-label,1650,0,83,26,0,137,71,8,986,1110,board-256-keyed-false,structured,json
160,251641503,160,2929,all-labels,3315,0,239,59,0,140,96,1064,1000,2289,board-256-keyed-false,structured,json
160,251641503,160,3029,reverse,3444,0,257,60,25,147,101,1090,1028,2311,board-256-keyed-false,structured,json
160,251641503,160,10626,replace-subtree,11378,0,6907,61,45,165,115,1870,1062,3184,board-256-keyed-false,structured,json
160,251641503,160,1090,one-label,1464,0,315,26,0,133,72,6,488,594,board-256-keyed-true,structured,json
160,251641503,160,2473,all-labels,3065,0,501,60,0,144,95,857,530,1574,board-256-keyed-true,structured,json
160,251641503,160,1850,reverse,2280,0,354,57,9,140,78,454,488,1089,board-256-keyed-true,structured,json
160,251641503,160,9862,replace-subtree,12020,0,7257,60,44,165,114,1283,559,2052,board-256-keyed-true,structured,json
160,1359462507,160,121,one-label,217,1,5,12,0,6,4,5,60,82,board-16-keyed-false,structured,json
160,1359462507,160,295,all-labels,400,1,15,24,0,7,5,68,64,167,board-16-keyed-false,structured,json
160,1359462507,160,297,reverse,397,1,15,24,1,7,5,68,64,167,board-16-keyed-false,structured,json
160,1359462507,160,408,replace-subtree,541,1,65,24,2,8,5,108,65,210,board-16-keyed-false,structured,json
160,1359462507,160,110,one-label,137,1,19,13,0,6,4,4,31,54,board-16-keyed-true,structured,json
160,1359462507,160,253,all-labels,314,1,28,24,0,7,5,56,31,117,board-16-keyed-true,structured,json
160,1359462507,160,275,reverse,343,1,22,24,0,7,5,77,32,141,board-16-keyed-true,structured,json
160,1359462507,160,343,replace-subtree,459,1,78,24,2,8,5,80,34,145,board-16-keyed-true,structured,json
160,251641503,160,369,one-label,496,1,18,16,0,37,17,5,241,281,board-64-keyed-false,structured,json
160,251641503,160,909,all-labels,1110,1,56,47,0,39,21,264,249,582,board-64-keyed-false,structured,json
160,251641503,160,916,reverse,1114,1,57,47,3,40,21,263,249,588,board-64-keyed-false,structured,json
160,251641503,160,1587,replace-subtree,1882,1,533,47,7,44,22,421,256,754,board-64-keyed-false,structured,json
160,251641503,160,312,one-label,425,1,78,16,0,37,17,5,120,162,board-64-keyed-true,structured,json
160,251641503,160,795,all-labels,1021,1,116,48,0,39,21,216,127,416,board-64-keyed-true,structured,json
160,251641503,160,841,reverse,1054,1,91,48,2,42,24,268,129,476,board-64-keyed-true,structured,json
160,251641503,160,1447,replace-subtree,1775,1,603,48,7,45,23,310,135,523,board-64-keyed-true,structured,json
160,251641503,160,1349,one-label,1579,1,79,25,0,134,73,7,982,1090,board-256-keyed-false,structured,json
160,251641503,160,2954,all-labels,3369,1,246,60,0,140,101,1088,1018,2329,board-256-keyed-false,structured,json
160,251641503,160,3050,reverse,3494,1,251,60,25,150,104,1093,1031,2355,board-256-keyed-false,structured,json
160,251641503,160,10857,replace-subtree,11871,1,7005,67,60,183,123,1939,1113,3278,board-256-keyed-false,structured,json
160,251641503,160,1121,one-label,1419,1,326,26,0,139,74,8,497,614,board-256-keyed-true,structured,json
160,251641503,160,2507,all-labels,3005,1,498,60,0,142,97,859,545,1591,board-256-keyed-true,structured,json
160,251641503,160,1898,reverse,2276,1,369,59,11,145,84,464,501,1116,board-256-keyed-true,structured,json
160,251641503,160,9866,replace-subtree,10694,1,7211,61,43,168,110,1304,559,2081,board-256-keyed-true,structured,json
160,1359462507,160,129,one-label,219,1,6,12,0,7,4,7,62,88,board-16-keyed-false,structured,base
160,1359462507,160,322,all-labels,429,1,15,24,0,7,5,93,64,193,board-16-keyed-false,structured,base
160,1359462507,160,322,reverse,416,1,16,24,1,7,5,93,64,192,board-16-keyed-false,structured,base
160,1359462507,160,445,replace-subtree,577,1,65,25,2,8,5,136,65,241,board-16-keyed-false,structured,base
160,1359462507,160,112,one-label,145,1,20,13,0,7,4,6,32,58,board-16-keyed-true,structured,base
160,1359462507,160,285,all-labels,369,1,28,25,0,7,5,81,32,145,board-16-keyed-true,structured,base
160,1359462507,160,302,reverse,395,1,21,24,0,7,5,103,32,168,board-16-keyed-true,structured,base
160,1359462507,160,374,replace-subtree,521,1,77,25,2,8,5,107,34,173,board-16-keyed-true,structured,base
160,251641503,160,383,one-label,546,1,19,16,0,39,18,7,246,290,board-64-keyed-false,structured,base
160,251641503,160,1044,all-labels,1217,1,60,49,0,41,23,352,257,690,board-64-keyed-false,structured,base
160,251641503,160,1038,reverse,1222,1,60,48,4,41,23,350,257,684,board-64-keyed-false,structured,base
160,251641503,160,1712,replace-subtree,2083,1,535,47,7,45,24,507,258,846,board-64-keyed-false,structured,base
160,251641503,160,319,one-label,465,1,79,17,0,38,17,7,124,168,board-64-keyed-true,structured,base
160,251641503,160,892,all-labels,1160,1,118,48,0,40,21,298,129,505,board-64-keyed-true,structured,base
160,251641503,160,922,reverse,1148,1,88,47,2,40,23,353,128,558,board-64-keyed-true,structured,base
160,251641503,160,1542,replace-subtree,1836,1,607,48,7,45,23,403,136,623,board-64-keyed-true,structured,base
160,251641503,160,1370,one-label,1640,1,78,26,0,136,71,9,992,1107,board-256-keyed-false,structured,base
160,251641503,160,3290,all-labels,4011,1,256,63,0,144,102,1361,1051,2621,board-256-keyed-false,structured,base
160,251641503,160,3242,reverse,3690,1,251,61,25,144,99,1315,1030,2540,board-256-keyed-false,structured,base
160,251641503,160,10888,replace-subtree,11761,1,6962,62,43,166,111,2125,1075,3439,board-256-keyed-false,structured,base
160,251641503,160,1100,one-label,1407,1,314,27,0,132,71,7,494,606,board-256-keyed-true,structured,base
160,251641503,160,2705,all-labels,3183,1,495,59,0,143,94,1097,520,1824,board-256-keyed-true,structured,base
160,251641503,160,2005,reverse,2488,1,362,58,10,139,79,571,503,1229,board-256-keyed-true,structured,base
160,251641503,160,10047,replace-subtree,11043,1,7046,58,38,160,106,1664,541,2385,board-256-keyed-true,structured,base
160,1359462507,160,123,one-label,217,2,5,12,0,6,4,7,60,84,board-16-keyed-false,structured,base
160,1359462507,160,319,all-labels,421,2,14,24,0,7,5,92,63,190,board-16-keyed-false,structured,base
160,1359462507,160,319,reverse,421,2,15,24,1,7,5,92,62,188,board-16-keyed-false,structured,base
160,1359462507,160,422,replace-subtree,543,2,64,24,2,8,5,132,64,229,board-16-keyed-false,structured,base
160,1359462507,160,109,one-label,139,2,20,13,0,6,4,6,31,57,board-16-keyed-true,structured,base
160,1359462507,160,278,all-labels,348,2,28,24,0,7,5,79,32,142,board-16-keyed-true,structured,base
160,1359462507,160,296,reverse,364,2,21,24,0,7,5,101,32,164,board-16-keyed-true,structured,base
160,1359462507,160,370,replace-subtree,486,2,77,24,2,8,5,106,34,173,board-16-keyed-true,structured,base
160,251641503,160,373,one-label,505,2,19,16,0,38,17,7,241,283,board-64-keyed-false,structured,base
160,251641503,160,990,all-labels,1177,2,57,47,0,40,21,339,248,667,board-64-keyed-false,structured,base
160,251641503,160,994,reverse,1199,2,57,47,3,40,21,339,248,664,board-64-keyed-false,structured,base
160,251641503,160,1682,replace-subtree,1989,2,527,47,7,43,22,499,253,830,board-64-keyed-false,structured,base
160,251641503,160,307,one-label,413,2,77,16,0,37,17,6,120,162,board-64-keyed-true,structured,base
160,251641503,160,875,all-labels,1049,2,117,46,0,38,21,295,127,494,board-64-keyed-true,structured,base
160,251641503,160,914,reverse,1122,2,88,47,2,40,24,352,127,555,board-64-keyed-true,structured,base
160,251641503,160,1505,replace-subtree,1822,2,589,47,7,44,23,398,134,611,board-64-keyed-true,structured,base
160,251641503,160,1328,one-label,1531,2,74,25,0,131,72,8,967,1077,board-256-keyed-false,structured,base
160,251641503,160,3183,all-labels,3589,2,237,60,0,141,101,1318,1019,2559,board-256-keyed-false,structured,base
160,251641503,160,3199,reverse,3603,2,244,59,24,143,102,1300,1004,2527,board-256-keyed-false,structured,base
160,251641503,160,10766,replace-subtree,11714,2,6899,61,42,162,111,2126,1055,3390,board-256-keyed-false,structured,base
160,251641503,160,1084,one-label,1532,2,311,26,0,133,70,7,487,596,board-256-keyed-true,structured,base
160,251641503,160,2648,all-labels,3158,2,480,59,0,143,92,1068,515,1774,board-256-keyed-true,structured,base
160,251641503,160,1963,reverse,2347,2,354,58,9,139,77,562,490,1201,board-256-keyed-true,structured,base
160,251641503,160,9937,replace-subtree,11085,2,7002,58,39,159,102,1656,536,2384,board-256-keyed-true,structured,base
160,1359462507,160,122,one-label,201,2,6,12,0,7,4,5,60,83,board-16-keyed-false,structured,json
160,1359462507,160,284,all-labels,397,2,14,24,0,7,5,67,62,160,board-16-keyed-false,structured,json
160,1359462507,160,294,reverse,390,2,15,24,1,7,5,67,63,164,board-16-keyed-false,structured,json
160,1359462507,160,395,replace-subtree,509,2,63,24,2,8,5,105,64,202,board-16-keyed-false,structured,json
160,1359462507,160,105,one-label,134,2,19,12,0,6,4,4,31,53,board-16-keyed-true,structured,json
160,1359462507,160,254,all-labels,313,2,28,24,0,7,5,56,32,119,board-16-keyed-true,structured,json
160,1359462507,160,270,reverse,361,2,22,24,0,7,5,75,31,138,board-16-keyed-true,structured,json
160,1359462507,160,341,replace-subtree,461,2,77,24,2,8,5,79,33,143,board-16-keyed-true,structured,json
160,251641503,160,365,one-label,483,2,18,15,0,37,16,5,238,277,board-64-keyed-false,structured,json
160,251641503,160,898,all-labels,1087,2,56,47,0,39,21,258,245,580,board-64-keyed-false,structured,json
160,251641503,160,896,reverse,1090,2,56,46,3,40,20,255,244,573,board-64-keyed-false,structured,json
160,251641503,160,1558,replace-subtree,1859,2,520,47,7,43,21,413,251,740,board-64-keyed-false,structured,json
160,251641503,160,311,one-label,406,2,78,17,0,37,18,4,121,164,board-64-keyed-true,structured,json
160,251641503,160,787,all-labels,986,2,114,46,0,38,21,212,125,412,board-64-keyed-true,structured,json
160,251641503,160,811,reverse,1014,2,85,46,2,39,22,258,124,457,board-64-keyed-true,structured,json
160,251641503,160,1393,replace-subtree,1693,2,591,47,7,43,23,302,132,508,board-64-keyed-true,structured,json
160,251641503,160,1324,one-label,1550,2,76,25,0,132,68,6,964,1068,board-256-keyed-false,structured,json
160,251641503,160,2893,all-labels,3297,2,238,59,0,143,95,1059,1010,2267,board-256-keyed-false,structured,json
160,251641503,160,2971,reverse,3373,2,247,60,24,143,98,1077,1006,2304,board-256-keyed-false,structured,json
160,251641503,160,10519,replace-subtree,11167,2,6806,62,42,162,108,1841,1074,3135,board-256-keyed-false,structured,json
160,251641503,160,1067,one-label,1430,2,312,25,0,131,71,6,480,586,board-256-keyed-true,structured,json
160,251641503,160,2382,all-labels,2948,2,481,59,0,140,92,819,508,1523,board-256-keyed-true,structured,json
160,251641503,160,1871,reverse,2252,2,351,58,9,138,80,449,490,1093,board-256-keyed-true,structured,json
160,251641503,160,9625,replace-subtree,10612,2,7130,59,42,162,104,1246,541,1979,board-256-keyed-true,structured,json
