changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,,160,693,mount-first-frame,1753,0,,,,,,,,,dashboard,terminal,base
160,,160,189,mount-first-frame,396,0,,,,,,,,,agent,terminal,base
160,,160,518,mount-first-frame,1488,0,,,,,,,,,files,terminal,base
160,,160,235,mount-first-frame,695,0,,,,,,,,,editor,terminal,base
160,,160,871,mount-first-frame,1737,0,,,,,,,,,finance,terminal,base
160,1359462507,160,34,one-label,85,0,6,0,0,7,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,43,all-labels,57,0,14,0,0,7,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,45,reverse,140,0,15,0,1,8,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,116,replace-subtree,369,0,66,0,2,8,0,0,0,0,board-16-keyed-false,terminal,base
160,1359462507,160,49,one-label,184,0,20,0,0,7,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,59,all-labels,113,0,30,0,0,7,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,57,reverse,121,0,24,0,0,8,0,0,0,0,board-16-keyed-true,terminal,base
160,1359462507,160,149,replace-subtree,452,0,91,0,2,9,0,0,0,0,board-16-keyed-true,terminal,base
160,251641503,160,88,one-label,198,0,20,0,0,41,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,137,all-labels,393,0,62,0,0,43,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,131,reverse,348,0,59,0,4,41,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,676,replace-subtree,1681,0,591,0,9,49,0,0,0,0,board-64-keyed-false,terminal,base
160,251641503,160,161,one-label,322,0,88,0,0,43,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,195,all-labels,373,0,124,0,0,43,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,172,reverse,340,0,95,0,2,44,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,735,replace-subtree,1389,0,644,0,8,48,0,0,0,0,board-64-keyed-true,terminal,base
160,251641503,160,294,one-label,753,0,92,0,0,162,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,401,all-labels,557,0,230,0,0,142,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,462,reverse,895,0,241,0,26,151,0,0,0,0,board-256-keyed-false,terminal,base
160,251641503,160,7721,replace-subtree,10490,0,7402,0,54,182,0,0,0,0,board-256-keyed-false,terminal,base
