changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,1359462507,160,122,one-label,189,0,6,12,0,6,4,5,60,83,board-16-keyed-false,structured,json
160,1359462507,160,290,all-labels,411,0,14,24,0,7,5,67,62,163,board-16-keyed-false,structured,json
160,1359462507,160,293,reverse,390,0,15,24,1,7,5,67,62,163,board-16-keyed-false,structured,json
160,1359462507,160,391,replace-subtree,511,0,62,23,2,8,5,105,63,201,board-16-keyed-false,structured,json
160,1359462507,160,106,one-label,152,0,19,12,0,6,4,4,31,53,board-16-keyed-true,structured,json
160,1359462507,160,263,all-labels,379,0,28,24,0,7,5,57,33,123,board-16-keyed-true,structured,json
160,1359462507,160,269,reverse,344,0,21,24,0,7,5,75,32,139,board-16-keyed-true,structured,json
160,1359462507,160,339,replace-subtree,471,0,76,24,2,8,5,78,33,143,board-16-keyed-true,structured,json
160,251641503,160,368,one-label,462,0,19,15,0,38,17,5,239,278,board-64-keyed-false,structured,json
160,251641503,160,892,all-labels,1108,0,55,46,0,40,20,255,242,569,board-64-keyed-false,structured,json
160,251641503,160,897,reverse,1102,0,57,46,3,40,20,257,244,574,board-64-keyed-false,structured,json
160,251641503,160,1590,replace-subtree,1914,0,527,47,7,43,23,414,255,748,board-64-keyed-false,structured,json
160,251641503,160,308,one-label,416,0,77,16,0,37,17,4,119,161,board-64-keyed-true,structured,json
160,251641503,160,795,all-labels,1009,0,115,47,0,39,20,212,128,412,board-64-keyed-true,structured,json
160,251641503,160,806,reverse,969,0,85,46,2,38,21,254,124,455,board-64-keyed-true,structured,json
160,251641503,160,1379,replace-subtree,1697,0,580,47,7,43,22,302,131,506,board-64-keyed-true,structured,json
160,251641503,160,1337,one-label,1558,0,75,25,0,133,70,7,971,1078,board-256-keyed-false,structured,json
160,251641503,160,2927,all-labels,3260,0,235,60,0,143,99,1071,1006,2296,board-256-keyed-false,structured,json
160,251641503,160,2919,reverse,3341,0,238,60,24,142,98,1060,992,2275,board-256-keyed-false,structured,json
