changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,,160,489,mount-first-frame,671,0,,,,,,,,,dashboard,terminal,json
160,,160,171,mount-first-frame,271,0,,,,,,,,,agent,terminal,json
160,,160,368,mount-first-frame,540,0,,,,,,,,,files,terminal,json
160,,160,179,mount-first-frame,274,0,,,,,,,,,editor,terminal,json
160,,160,635,mount-first-frame,864,0,,,,,,,,,finance,terminal,json
160,1359462507,160,32,one-label,38,0,6,0,0,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,39,all-labels,44,0,13,0,0,6,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,42,reverse,48,0,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,103,replace-subtree,143,0,61,0,1,8,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,45,one-label,64,0,19,0,0,6,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,53,all-labels,65,0,27,0,0,6,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,49,reverse,59,0,22,0,0,7,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,115,replace-subtree,137,0,74,0,1,8,0,0,0,0,board-16-keyed-true,terminal,json
160,251641503,160,79,one-label,101,0,18,0,0,37,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,113,all-labels,143,0,53,0,0,37,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,121,reverse,150,0,55,0,3,39,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,597,replace-subtree,816,0,518,0,7,43,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,136,one-label,175,0,75,0,0,36,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,177,all-labels,233,0,112,0,0,39,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,153,reverse,200,0,85,0,2,38,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,659,replace-subtree,860,0,581,0,7,43,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,236,one-label,325,0,77,0,0,136,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,371,all-labels,469,0,212,0,0,132,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,413,reverse,579,0,219,0,23,137,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,7110,replace-subtree,7867,0,6855,0,45,162,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,459,one-label,654,0,303,0,0,130,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,608,all-labels,861,0,440,0,0,135,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,521,reverse,697,0,338,0,8,135,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,7472,replace-subtree,8298,0,7208,0,44,161,0,0,0,0,board-256-keyed-true,terminal,json
160,,160,506,mount-first-frame,697,0,,,,,,,,,dashboard,terminal,removal
160,,160,175,mount-first-frame,248,0,,,,,,,,,agent,terminal,removal
160,,160,377,mount-first-frame,526,0,,,,,,,,,files,terminal,removal
160,,160,178,mount-first-frame,251,0,,,,,,,,,editor,terminal,removal
160,,160,633,mount-first-frame,799,0,,,,,,,,,finance,terminal,removal
160,1359462507,160,32,one-label,35,0,5,0,0,6,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,41,all-labels,53,0,14,0,0,7,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,42,reverse,49,0,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,removal
