scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
dashboard,mount-first-frame,300,493,688,300,terminal,,0,base,
agent,mount-first-frame,300,172,228,300,terminal,,0,base,
files,mount-first-frame,300,363,535,300,terminal,,0,base,
editor,mount-first-frame,300,177,252,300,terminal,,0,base,
finance,mount-first-frame,300,630,827,300,terminal,,0,base,
board-16-keyed-false,one-label,300,31,34,300,terminal,1359462507,0,base,"{""build"": 5, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,all-labels,300,39,43,300,terminal,1359462507,0,base,"{""build"": 13, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,reverse,300,42,46,300,terminal,1359462507,0,base,"{""build"": 14, ""coverage"": 0, ""layout"": 1, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,replace-subtree,300,86,111,300,terminal,1359462507,0,base,"{""build"": 44, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,one-label,300,45,50,300,terminal,1359462507,0,base,"{""build"": 19, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,all-labels,300,54,62,300,terminal,1359462507,0,base,"{""build"": 27, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,reverse,300,49,67,300,terminal,1359462507,0,base,"{""build"": 21, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,replace-subtree,300,99,127,300,terminal,1359462507,0,base,"{""build"": 58, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,one-label,300,78,102,300,terminal,251641503,0,base,"{""build"": 18, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,all-labels,300,115,147,300,terminal,251641503,0,base,"{""build"": 53, ""coverage"": 0, ""layout"": 0, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,reverse,300,119,156,300,terminal,251641503,0,base,"{""build"": 54, ""coverage"": 0, ""layout"": 3, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,replace-subtree,300,311,488,300,terminal,251641503,0,base,"{""build"": 241, ""coverage"": 0, ""layout"": 5, ""paint"": 43, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,one-label,300,135,171,300,terminal,251641503,0,base,"{""build"": 76, ""coverage"": 0, ""layout"": 0, ""paint"": 36, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,all-labels,300,175,226,300,terminal,251641503,0,base,"{""build"": 112, ""coverage"": 0, ""layout"": 0, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,reverse,300,147,200,300,terminal,251641503,0,base,"{""build"": 82, ""coverage"": 0, ""layout"": 2, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,replace-subtree,300,368,540,300,terminal,251641503,0,base,"{""build"": 297, ""coverage"": 0, ""layout"": 5, ""paint"": 42, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,one-label,300,224,326,300,terminal,251641503,0,base,"{""build"": 71, ""coverage"": 0, ""layout"": 0, ""paint"": 129, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,all-labels,300,364,469,300,terminal,251641503,0,base,"{""build"": 209, ""coverage"": 0, ""layout"": 0, ""paint"": 131, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,reverse,300,407,533,300,terminal,251641503,0,base,"{""build"": 215, ""coverage"": 0, ""layout"": 23, ""paint"": 135, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,replace-subtree,300,2304,3066,300,terminal,251641503,0,base,"{""build"": 2079, ""coverage"": 0, ""layout"": 25, ""paint"": 149, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,one-label,300,461,667,300,terminal,251641503,0,base,"{""build"": 305, ""coverage"": 0, ""layout"": 0, ""paint"": 128, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,all-labels,300,606,900,300,terminal,251641503,0,base,"{""build"": 445, ""coverage"": 0, ""layout"": 0, ""paint"": 131, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,reverse,300,512,754,300,terminal,251641503,0,base,"{""build"": 335, ""coverage"": 0, ""layout"": 9, ""paint"": 130, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,replace-subtree,300,2627,3396,300,terminal,251641503,0,base,"{""build"": 2392, ""coverage"": 0, ""layout"": 25, ""paint"": 149, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
dashboard,mount-first-frame,300,488,682,300,terminal,,0,candidate,
agent,mount-first-frame,300,176,243,300,terminal,,0,candidate,
files,mount-first-frame,300,357,529,300,terminal,,0,candidate,
editor,mount-first-frame,300,174,265,300,terminal,,0,candidate,
finance,mount-first-frame,300,610,848,300,terminal,,0,candidate,
board-16-keyed-false,one-label,300,31,35,300,terminal,1359462507,0,candidate,"{""build"": 5, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,all-labels,300,40,54,300,terminal,1359462507,0,candidate,"{""build"": 14, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,reverse,300,43,65,300,terminal,1359462507,0,candidate,"{""build"": 14, ""coverage"": 0, ""layout"": 1, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,replace-subtree,300,85,107,300,terminal,1359462507,0,candidate,"{""build"": 44, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,one-label,300,45,50,300,terminal,1359462507,0,candidate,"{""build"": 19, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,all-labels,300,54,67,300,terminal,1359462507,0,candidate,"{""build"": 27, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,reverse,300,50,67,300,terminal,1359462507,0,candidate,"{""build"": 22, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
