app,mode,iterations,medianUs,p95Us,p99Us,plans,semanticFrames,semanticBytes,nodes,changedSnapshots,fingerprint,pair,version
dashboard,ignored-key,1000,852,1113,1320,0,0,0,378,0,1009535925,0,base
dashboard,pointer-idle,1000,817,1042,1158,0,0,0,378,0,1009535925,0,base
dashboard,tab,1000,823,1031,1168,0,0,0,378,0,1009535925,0,base
files,ignored-key,1000,526,680,770,0,0,0,179,0,1443703781,0,base
files,pointer-idle,1000,528,687,785,0,0,0,179,0,1443703781,0,base
files,tab,1000,526,703,781,0,0,0,179,0,1443703781,0,base
files,selection,1000,695,894,1044,1000,1000,1533000,179,1000,518885909,0,base
forms,ignored-key,1000,261,378,447,1,0,0,86,0,2474313173,0,base
forms,pointer-idle,1000,261,358,463,1,0,0,86,0,2474313173,0,base
forms,tab,1000,565,755,845,1000,1000,1634000,86,1000,2347066757,0,base
forms,typing,1000,507,677,790,1002,1000,843500,86,1000,2461209369,0,base
dashboard,ignored-key,1000,663,921,1493,0,0,0,378,0,1009535925,0,candidate
dashboard,pointer-idle,1000,601,755,857,0,0,0,378,0,1009535925,0,candidate
dashboard,tab,1000,607,753,863,0,0,0,378,0,1009535925,0,candidate
files,ignored-key,1000,277,389,463,0,0,0,179,0,1443703781,0,candidate
files,pointer-idle,1000,277,388,465,0,0,0,179,0,1443703781,0,candidate
files,tab,1000,275,386,436,0,0,0,179,0,1443703781,0,candidate
files,selection,1000,437,596,688,1000,1000,1533000,179,1000,518885909,0,candidate
forms,ignored-key,1000,181,244,335,1,0,0,86,0,2474313173,0,candidate
forms,pointer-idle,1000,177,241,328,1,0,0,86,0,2474313173,0,candidate
forms,tab,1000,479,625,718,1000,1000,1634000,86,1000,2347066757,0,candidate
forms,typing,1000,431,570,661,1002,1000,844500,86,1000,2461209369,0,candidate
dashboard,ignored-key,1000,606,764,883,0,0,0,378,0,1009535925,1,candidate
dashboard,pointer-idle,1000,597,781,910,0,0,0,378,0,1009535925,1,candidate
dashboard,tab,1000,602,753,872,0,0,0,378,0,1009535925,1,candidate
files,ignored-key,1000,273,382,443,0,0,0,179,0,1443703781,1,candidate
files,pointer-idle,1000,288,453,715,0,0,0,179,0,1443703781,1,candidate
files,tab,1000,289,426,727,0,0,0,179,0,1443703781,1,candidate
files,selection,1000,452,633,814,1000,1000,1533000,179,1000,518885909,1,candidate
forms,ignored-key,1000,184,286,470,1,0,0,86,0,2474313173,1,candidate
forms,pointer-idle,1000,176,250,317,1,0,0,86,0,2474313173,1,candidate
forms,tab,1000,480,631,738,1000,1000,1634000,86,1000,2347066757,1,candidate
forms,typing,1000,426,559,659,1002,1000,844500,86,1000,2461209369,1,candidate
dashboard,ignored-key,1000,816,1037,1151,0,0,0,378,0,1009535925,1,base
dashboard,pointer-idle,1000,806,1054,1220,0,0,0,378,0,1009535925,1,base
dashboard,tab,1000,886,1144,1631,0,0,0,378,0,1009535925,1,base
files,ignored-key,1000,589,773,954,0,0,0,179,0,1443703781,1,base
files,pointer-idle,1000,574,757,976,0,0,0,179,0,1443703781,1,base
files,tab,1000,560,790,1356,0,0,0,179,0,1443703781,1,base
files,selection,1000,700,875,1013,1000,1000,1533000,179,1000,518885909,1,base
forms,ignored-key,1000,262,358,428,1,0,0,86,0,2474313173,1,base
forms,pointer-idle,1000,260,354,429,1,0,0,86,0,2474313173,1,base
forms,tab,1000,556,720,788,1000,1000,1634000,86,1000,2347066757,1,base
forms,typing,1000,504,664,754,1002,1000,844500,86,1000,2461209369,1,base
dashboard,ignored-key,1000,820,1024,1147,0,0,0,378,0,1009535925,2,base
dashboard,pointer-idle,1000,828,1052,1165,0,0,0,378,0,1009535925,2,base
dashboard,tab,1000,823,1037,1134,0,0,0,378,0,1009535925,2,base
files,ignored-key,1000,524,683,747,0,0,0,179,0,1443703781,2,base
files,pointer-idle,1000,527,668,774,0,0,0,179,0,1443703781,2,base
files,tab,1000,528,679,766,0,0,0,179,0,1443703781,2,base
files,selection,1000,690,871,1030,1000,1000,1533000,179,1000,518885909,2,base
forms,ignored-key,1000,259,357,438,1,0,0,86,0,2474313173,2,base
forms,pointer-idle,1000,257,355,444,1,0,0,86,0,2474313173,2,base
forms,tab,1000,555,726,825,1000,1000,1632000,86,1000,2347066757,2,base
forms,typing,1000,507,660,744,1002,1000,844500,86,1000,2461209369,2,base
dashboard,ignored-key,1000,601,789,908,0,0,0,378,0,1009535925,2,candidate
dashboard,pointer-idle,1000,594,775,899,0,0,0,378,0,1009535925,2,candidate
dashboard,tab,1000,603,795,1399,0,0,0,378,0,1009535925,2,candidate
files,ignored-key,1000,270,376,421,0,0,0,179,0,1443703781,2,candidate
files,pointer-idle,1000,271,376,415,0,0,0,179,0,1443703781,2,candidate
files,tab,1000,270,382,460,0,0,0,179,0,1443703781,2,candidate
files,selection,1000,434,620,722,1000,1000,1533000,179,1000,518885909,2,candidate
forms,ignored-key,1000,191,332,646,1,0,0,86,0,2474313173,2,candidate
forms,pointer-idle,1000,183,287,519,1,0,0,86,0,2474313173,2,candidate
forms,tab,1000,497,700,967,1000,1000,1634000,86,1000,2347066757,2,candidate
forms,typing,1000,443,622,869,1002,1000,844500,86,1000,2461209369,2,candidate
