kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,True,1000,open,60,60,0,1830451483,3333,5445,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,83,106,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,82,213,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,edit,60,60,0,37686951,3714,8197,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,resize,60,60,0,1830451483,3260,12243,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,drag,60,60,0,1797951353,87,2068,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,copy,60,0,16730,4053437227,91,405,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,141,454,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,1000,open,60,60,0,1830451483,3378,4746,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,83,93,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,84,162,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,edit,60,60,0,37686951,3161,4367,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,resize,60,60,0,1830451483,3024,6511,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,drag,60,60,0,1797951353,84,89,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,copy,60,0,16730,4053437227,92,193,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,140,221,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,open,60,60,0,1830451483,1607,3172,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,82,212,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,82,407,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,edit,60,60,0,37686951,1794,4015,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,resize,60,60,0,1830451483,504,1088,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,drag,60,60,0,1797951353,86,179,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,copy,60,0,16730,4053437227,94,372,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,126,267,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,1000,open,60,60,0,1830451483,1416,2740,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,82,110,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,83,90,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,edit,60,60,0,37686951,1703,3554,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,resize,60,60,0,1830451483,110,244,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,drag,60,60,0,1797951353,86,305,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,copy,60,0,16730,4053437227,94,225,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,124,322,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,open,60,60,0,1830451483,41396,67303,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
