kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run,case,nodes
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,987,3232,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0,,
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,779,4036,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0,,
plain,spec,False,10000,open,200,200,0,1830451483,21558,35179,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0,,
plain,spec,False,10000,open,200,200,0,1830451483,16039,23993,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0,,
,,,,,100,,,,467,824,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,dashboard,145
,,,,,100,,,,90,192,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,agent,15
,,,,,100,,,,366,568,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,files,39
,,,,,100,,,,60,84,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,editor,9
,,,,,100,,,,585,1164,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,finance,91
,,,,,100,,,,167,219,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-50-keyed-false,51
,,,,,100,,,,98,201,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-50-keyed-true,51
,,,,,100,,,,1539,4159,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-200-keyed-false,201
,,,,,100,,,,395,605,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-200-keyed-true,201
,,,,,100,,,,31685,36295,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-1000-keyed-false,1001
,,,,,100,,,,2052,2986,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0,rows-1000-keyed-true,1001
,,,,,100,,,,458,817,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,dashboard,145
,,,,,100,,,,88,134,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,agent,15
,,,,,100,,,,354,499,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,files,39
,,,,,100,,,,59,64,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,editor,9
,,,,,100,,,,546,834,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,finance,91
,,,,,100,,,,102,191,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-50-keyed-false,51
,,,,,100,,,,98,224,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-50-keyed-true,51
,,,,,100,,,,407,874,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-200-keyed-false,201
,,,,,100,,,,380,542,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-200-keyed-true,201
,,,,,100,,,,2071,2470,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-1000-keyed-false,1001
,,,,,100,,,,2043,2571,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0,rows-1000-keyed-true,1001
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,809,1768,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1,,
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,714,1709,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1,,
plain,spec,False,10000,open,200,200,0,1830451483,12812,15559,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1,,
plain,spec,False,10000,open,200,200,0,1830451483,15380,17864,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1,,
