app,mode,renderObjects,leafRenderObjectIndex,changedFrames,probe,variant,run,columns,rows,totalUs_median,totalUs_p95,buildUs_median,buildUs_p95,layoutUs_median,layoutUs_p95,paintUs_median,paintUs_p95,bufferPrepareUs_median,bufferPrepareUs_p95,finishUs_median,finishUs_p95
dashboard,clean,144,11,0,frame,base,0,80,24,139,593,0,0,0,0,104,443,2,5,32,90
dashboard,leaf,144,11,600,frame,base,0,80,24,142,563,0,0,0,0,105,419,2,6,32,89
dashboard,full,144,11,0,frame,base,0,80,24,164,715,0,0,7,27,104,480,2,6,31,105
agent,clean,67,12,0,frame,base,0,80,24,40,188,0,0,0,0,22,83,2,6,15,47
agent,leaf,67,12,600,frame,base,0,80,24,41,177,0,0,0,0,22,99,2,6,15,44
agent,full,67,12,0,frame,base,0,80,24,55,292,0,0,3,17,30,148,2,6,15,40
files,clean,152,11,0,frame,base,0,80,24,53,228,0,0,0,0,31,120,2,5,19,51
files,leaf,152,11,600,frame,base,0,80,24,53,285,0,0,0,0,31,129,2,5,19,35
files,full,152,11,0,frame,base,0,80,24,108,738,0,0,22,73,49,296,2,4,20,53
editor,clean,42,20,0,frame,base,0,80,24,41,287,0,0,0,0,24,97,2,5,14,34
editor,leaf,42,20,600,frame,base,0,80,24,41,169,0,0,0,0,24,64,2,6,14,32
editor,full,42,20,0,frame,base,0,80,24,50,328,0,0,5,23,24,82,2,5,14,33
finance,clean,143,12,0,frame,base,0,80,24,92,263,0,0,0,0,60,189,2,5,28,66
finance,leaf,143,12,600,frame,base,0,80,24,93,311,0,0,0,0,60,213,2,5,28,77
finance,full,143,12,0,frame,base,0,80,24,114,359,0,0,6,26,60,195,2,5,28,69
dashboard,clean,144,11,0,frame,after,0,80,24,147,983,0,0,0,0,110,746,2,6,32,101
dashboard,leaf,144,11,600,frame,after,0,80,24,148,651,0,0,0,0,110,517,2,7,33,98
dashboard,full,144,11,0,frame,after,0,80,24,171,1173,0,0,8,36,111,602,2,6,32,79
agent,clean,67,12,0,frame,after,0,80,24,44,145,0,0,0,0,25,88,2,8,16,42
agent,leaf,67,12,600,frame,after,0,80,24,45,132,0,0,0,0,25,69,2,8,17,40
agent,full,67,12,0,frame,after,0,80,24,61,186,0,0,3,11,33,105,2,7,16,41
files,clean,152,11,0,frame,after,0,80,24,58,151,0,0,0,0,34,78,2,4,21,25
files,leaf,152,11,600,frame,after,0,80,24,58,168,0,0,0,0,34,84,2,3,21,24
files,full,152,11,0,frame,after,0,80,24,116,312,0,0,23,52,54,131,2,3,22,25
editor,clean,42,20,0,frame,after,0,80,24,40,217,0,0,0,0,23,130,2,8,13,41
editor,leaf,42,20,600,frame,after,0,80,24,40,201,0,0,0,0,23,138,2,8,13,48
editor,full,42,20,0,frame,after,0,80,24,50,299,0,0,5,46,24,163,2,8,13,36
finance,clean,143,12,0,frame,after,0,80,24,93,292,0,0,0,0,61,196,2,7,28,72
finance,leaf,143,12,600,frame,after,0,80,24,93,346,0,0,0,0,61,244,2,6,29,79
finance,full,143,12,0,frame,after,0,80,24,114,411,0,0,6,22,61,192,2,6,29,77
dashboard,clean,144,11,0,frame,base,0,120,40,262,995,0,0,0,0,188,787,5,15,62,169
dashboard,leaf,144,11,600,frame,base,0,120,40,265,880,0,0,0,0,190,691,5,14,63,195
dashboard,full,144,11,0,frame,base,0,120,40,297,1033,0,0,12,36,189,722,5,13,62,184
agent,clean,67,12,0,frame,base,0,120,40,75,302,0,0,0,0,41,152,5,22,27,69
agent,leaf,67,12,600,frame,base,0,120,40,76,346,0,0,0,0,41,220,5,22,27,70
agent,full,67,12,0,frame,base,0,120,40,91,356,0,0,3,18,49,198,5,20,27,85
files,clean,152,11,0,frame,base,0,120,40,93,836,0,0,0,0,52,475,5,19,32,125
files,leaf,152,11,600,frame,base,0,120,40,93,898,0,0,0,0,51,404,5,20,32,119
files,full,152,11,0,frame,base,0,120,40,156,1527,0,0,24,198,73,564,5,16,33,138
editor,clean,42,20,0,frame,base,0,120,40,69,232,0,0,0,0,39,112,5,22,22,38
editor,leaf,42,20,600,frame,base,0,120,40,70,176,0,0,0,0,40,100,5,18,23,40
editor,full,42,20,0,frame,base,0,120,40,81,244,0,0,8,22,40,123,5,15,23,45
finance,clean,283,12,0,frame,base,0,120,40,243,2002,0,0,0,0,164,1615,5,15,71,383
finance,leaf,283,12,600,frame,base,0,120,40,249,2054,0,0,0,0,164,1347,5,15,71,328
finance,full,283,12,0,frame,base,0,120,40,308,2105,0,0,21,162,165,1183,5,12,71,291
dashboard,clean,144,11,0,frame,after,0,120,40,262,1282,0,0,0,0,190,1060,5,14,63,272
dashboard,leaf,144,11,600,frame,after,0,120,40,264,1162,0,0,0,0,190,909,5,13,64,201
dashboard,full,144,11,0,frame,after,0,120,40,292,1205,0,0,11,40,191,881,5,14,63,215
agent,clean,67,12,0,frame,after,0,120,40,76,512,0,0,0,0,42,224,5,23,27,151
agent,leaf,67,12,600,frame,after,0,120,40,77,530,0,0,0,0,41,281,5,17,27,107
agent,full,67,12,0,frame,after,0,120,40,95,657,0,0,4,33,51,378,5,21,27,126
files,clean,152,11,0,frame,after,0,120,40,95,455,0,0,0,0,54,259,5,19,33,138
files,leaf,152,11,600,frame,after,0,120,40,97,624,0,0,0,0,54,329,5,20,34,205
