variant,run,phase,kind,projectBytes,projectObjects,oneByteStringBytes,twoByteStringBytes,heap_type,heap_externalUsage,heap_heapCapacity,heap_heapUsage
base,0,empty-before,plain,2976,89,1380272,6475696,MemoryUsage,48,45187072,23725200
base,0,mounted,plain,102096,2938,1380544,6856768,MemoryUsage,48,48332800,24459664
base,0,emptied,plain,16464,265,1380544,6737360,MemoryUsage,48,42041344,24275072
base,0,released,plain,3152,92,1380432,6475696,MemoryUsage,48,59342848,23981456
base,0,empty-after-50,plain,3152,92,1380432,6475696,MemoryUsage,48,41517056,24147728
after,0,empty-before,plain,2976,89,1382112,6476992,MemoryUsage,48,58818560,23734448
after,0,mounted,plain,102096,2938,1382384,6740256,MemoryUsage,48,52527104,24349584
after,0,emptied,plain,16464,265,1382384,6738656,MemoryUsage,48,43089920,24285728
after,0,released,plain,3152,92,1382272,6476992,MemoryUsage,48,60391424,23992528
after,0,empty-after-50,plain,3152,92,1382272,6476992,MemoryUsage,48,54624256,24142720
after,1,empty-before,plain,2976,89,1382112,6476992,MemoryUsage,48,58818560,23734448
after,1,mounted,plain,102096,2938,1382384,6740256,MemoryUsage,48,52527104,24349584
after,1,emptied,plain,16464,265,1382384,6738656,MemoryUsage,48,43089920,24285728
after,1,released,plain,3152,92,1382272,6476992,MemoryUsage,48,60391424,23992528
after,1,empty-after-50,plain,3152,92,1382272,6476992,MemoryUsage,48,54624256,24142720
base,1,empty-before,plain,2976,89,1380272,6475696,MemoryUsage,48,45187072,23725632
base,1,mounted,plain,102096,2938,1380544,6856768,MemoryUsage,48,48332800,24460448
base,1,emptied,plain,16464,265,1380544,6737360,MemoryUsage,48,42041344,24275856
base,1,released,plain,3152,92,1380432,6475696,MemoryUsage,48,59342848,23982240
base,1,empty-after-50,plain,3152,92,1380432,6475696,MemoryUsage,48,42565632,24148640
