case,frames,nodes,medianUs,p95Us,dart,probe,variant,run
dashboard,300,145,539,1675,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
agent,300,15,93,408,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
files,300,39,417,1521,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
editor,300,9,63,224,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
finance,300,91,691,1820,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-50-keyed-false,300,51,170,1853,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-50-keyed-true,300,51,103,723,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-200-keyed-false,300,201,2643,18581,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-200-keyed-true,300,201,491,5259,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-1000-keyed-false,300,1001,40686,74912,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
rows-1000-keyed-true,300,1001,2463,4782,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,0
dashboard,300,145,572,1911,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
agent,300,15,99,327,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
files,300,39,398,3138,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
editor,300,9,65,204,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
finance,300,91,714,2348,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-50-keyed-false,300,51,107,469,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-50-keyed-true,300,51,100,494,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-200-keyed-false,300,201,452,1475,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-200-keyed-true,300,201,442,3711,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-1000-keyed-false,300,1001,2697,6673,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
rows-1000-keyed-true,300,1001,2652,6586,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,0
dashboard,300,145,472,841,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
agent,300,15,88,150,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
files,300,39,377,853,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
editor,300,9,62,77,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
finance,300,91,549,928,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-50-keyed-false,300,51,100,182,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-50-keyed-true,300,51,96,159,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-200-keyed-false,300,201,420,1344,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-200-keyed-true,300,201,399,915,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-1000-keyed-false,300,1001,2130,2975,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
rows-1000-keyed-true,300,1001,2042,2709,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1
dashboard,300,145,463,665,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
agent,300,15,88,144,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
files,300,39,357,527,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
editor,300,9,62,120,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
finance,300,91,560,814,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
rows-50-keyed-false,300,51,165,251,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
rows-50-keyed-true,300,51,95,152,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
