kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,True,1000,open,50,50,0,1830451483,2917,3280,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,82,91,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,77,101,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,edit,50,50,0,37686951,2813,2990,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,resize,50,50,0,1830451483,2305,2525,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,drag,50,50,0,1797951353,78,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,copy,50,0,14340,4053437227,88,175,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,116,149,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,1000,open,50,50,0,1830451483,2961,3446,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,82,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,79,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,edit,50,50,0,37686951,3121,4207,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,resize,50,50,0,1830451483,2124,2437,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,drag,50,50,0,1797951353,79,81,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,copy,50,0,14340,4053437227,86,112,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,121,145,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,open,50,50,0,1830451483,1602,2584,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,83,140,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,81,166,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,edit,50,50,0,37686951,1473,1736,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,resize,50,50,0,1830451483,378,450,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,drag,50,50,0,1797951353,78,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,copy,50,0,14340,4053437227,84,96,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,120,129,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,1000,open,50,50,0,1830451483,1429,1565,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,78,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,76,87,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,edit,50,50,0,37686951,1434,1827,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,resize,50,50,0,1830451483,105,124,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,drag,50,50,0,1797951353,77,78,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,copy,50,0,14340,4053437227,83,91,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,118,158,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,open,50,50,0,1830451483,28264,29942,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,77,94,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,85,145,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,edit,50,50,0,37686951,29404,31724,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,resize,50,50,0,1830451483,24380,25693,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,drag,50,50,0,2724726841,100,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,copy,50,0,14340,1404687173,154,178,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,573,1334,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,open,50,50,0,1830451483,28293,29866,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,80,105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,76,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,edit,50,50,0,37686951,29782,31464,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,resize,50,50,0,1830451483,21315,23128,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,drag,50,50,0,2724726841,101,109,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,copy,50,0,14340,1404687173,155,191,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,591,1758,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,open,50,50,0,1830451483,14340,16113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,rebuild-same,50,0,0,1830451483,79,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,rebuild-equal,50,0,0,1830451483,79,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,edit,50,50,0,37686951,14491,15833,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,resize,50,50,0,1830451483,3542,4180,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
