kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,True,1000,open,60,60,0,1830451483,2901,3317,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,edit,60,60,0,37686951,2960,3179,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,resize,60,60,0,1830451483,2115,2366,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,open,60,60,0,1830451483,2672,2926,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,True,1000,edit,60,60,0,37686951,2837,3262,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,True,1000,resize,60,60,0,1830451483,2172,2475,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,False,1000,open,60,60,0,1830451483,1512,2622,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,edit,60,60,0,37686951,1582,3253,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,resize,60,60,0,1830451483,109,139,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,1000,open,60,60,0,1830451483,1330,2674,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,False,1000,edit,60,60,0,37686951,1312,1516,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,False,1000,resize,60,60,0,1830451483,103,326,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,multiline
plain,spec,True,10000,open,60,60,0,1830451483,29376,31417,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,edit,60,60,0,37686951,29698,31870,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,resize,60,60,0,1830451483,21560,23717,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
