case,frames,nodes,medianUs,p95Us,dart,run,variant
dashboard,300,145,456,577,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
agent,300,15,86,96,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
files,300,39,348,439,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
editor,300,9,59,67,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
finance,300,91,537,650,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-50-keyed-false,300,51,158,195,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-50-keyed-true,300,51,93,114,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-200-keyed-false,300,201,1437,1597,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-200-keyed-true,300,201,383,472,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-1000-keyed-false,300,1001,28922,29915,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-1000-keyed-true,300,1001,1926,2105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
dashboard,300,145,461,592,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
agent,300,15,94,121,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
files,300,39,377,505,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
editor,300,9,65,82,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
finance,300,91,544,686,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-50-keyed-false,300,51,101,137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-50-keyed-true,300,51,98,147,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-200-keyed-false,300,201,415,510,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-200-keyed-true,300,201,391,481,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-1000-keyed-false,300,1001,2086,2266,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
rows-1000-keyed-true,300,1001,2022,2242,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,indices
dashboard,300,145,460,598,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,indices
agent,300,15,90,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,indices
