case,frames,nodes,medianUs,p95Us,dart,run,variant
dashboard,300,145,448,556,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
agent,300,15,87,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
files,300,39,347,427,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
editor,300,9,58,76,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
finance,300,91,541,653,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-50-keyed-false,300,51,161,200,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-50-keyed-true,300,51,94,106,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-200-keyed-false,300,201,1434,1642,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-200-keyed-true,300,201,369,441,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-1000-keyed-false,300,1001,29081,29751,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
rows-1000-keyed-true,300,1001,1901,2143,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
dashboard,300,145,447,553,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
agent,300,15,85,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
files,300,39,345,441,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
editor,300,9,58,66,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
finance,300,91,514,636,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-50-keyed-false,300,51,96,118,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-50-keyed-true,300,51,92,116,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-200-keyed-false,300,201,398,481,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-200-keyed-true,300,201,368,452,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-1000-keyed-false,300,1001,1979,2201,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
rows-1000-keyed-true,300,1001,1929,2139,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,wide
dashboard,300,145,437,555,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
agent,300,15,84,96,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
files,300,39,344,437,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
editor,300,9,58,65,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
finance,300,91,514,628,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-50-keyed-false,300,51,96,114,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-50-keyed-true,300,51,93,113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-200-keyed-false,300,201,390,467,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-200-keyed-true,300,201,370,460,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-1000-keyed-false,300,1001,1988,2241,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
rows-1000-keyed-true,300,1001,1934,2141,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,wide
dashboard,300,145,447,554,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
agent,300,15,84,112,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
files,300,39,346,447,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
editor,300,9,58,69,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
finance,300,91,526,704,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-50-keyed-false,300,51,157,202,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-50-keyed-true,300,51,92,109,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-200-keyed-false,300,201,1433,1582,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-200-keyed-true,300,201,367,471,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-1000-keyed-false,300,1001,29063,29804,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-1000-keyed-true,300,1001,1981,2344,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
dashboard,300,145,460,579,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
agent,300,15,86,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
files,300,39,353,451,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
editor,300,9,59,66,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
finance,300,91,554,669,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-50-keyed-false,300,51,159,194,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-50-keyed-true,300,51,93,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-200-keyed-false,300,201,1441,1633,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-200-keyed-true,300,201,367,446,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-1000-keyed-false,300,1001,28912,29881,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-1000-keyed-true,300,1001,1911,2126,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
dashboard,300,145,451,572,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
agent,300,15,84,113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
files,300,39,349,450,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
editor,300,9,58,69,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
finance,300,91,513,612,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-50-keyed-false,300,51,96,113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-50-keyed-true,300,51,93,114,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-200-keyed-false,300,201,403,483,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-200-keyed-true,300,201,380,473,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-1000-keyed-false,300,1001,2012,3442,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
rows-1000-keyed-true,300,1001,1898,2093,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,wide
