surface,subscribers,notifications,iterations,medianUs,p95Us,notifyMedianUs,buildMedianUs,changedFrames,subscriberBuilds,semanticFrames,semanticBytes,fingerprint,pair,version,binarySha256
terminal,16,1,1000,41,47,0,15,1000,16000,0,0,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,8,1000,42,55,1,15,1000,16000,0,0,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,64,1000,49,66,8,15,1000,16000,0,0,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,1,1000,115,141,3,59,1000,64000,0,0,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,8,1000,118,144,5,59,1000,64000,0,0,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,64,1000,140,260,28,59,1000,64000,0,0,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,128,1,1000,234,688,6,122,1000,128000,0,0,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,128,8,1000,237,532,11,125,1000,128000,0,0,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,128,64,1000,271,418,54,117,1000,128000,0,0,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,16,1,1000,184,250,0,15,1000,16000,1000,3556000,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,16,8,1000,184,229,1,15,1000,16000,1000,3556000,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,16,64,1000,191,249,8,15,1000,16000,1000,3556000,4094339220,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,1,1000,673,832,3,60,1000,64000,1000,14144000,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,8,1000,676,849,6,60,1000,64000,1000,14208000,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,64,1000,694,848,28,60,1000,64000,1000,14208000,1506002656,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,1,1000,1360,1630,6,118,1000,128000,1000,28520000,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,8,1000,1371,1650,12,121,1000,128000,1000,28520000,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,64,1000,1416,1696,54,128,1000,128000,1000,28520000,622371159,1,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,1,1000,42,46,0,16,1000,16000,0,0,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,8,1000,42,68,0,16,1000,16000,0,0,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,64,1000,43,65,1,16,1000,16000,0,0,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,1,1000,117,139,0,64,1000,64000,0,0,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,8,1000,118,140,0,64,1000,64000,0,0,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,64,1000,118,150,1,64,1000,64000,0,0,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,1,1000,226,287,0,128,1000,128000,0,0,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,8,1000,225,285,0,127,1000,128000,0,0,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,64,1000,227,283,1,126,1000,128000,0,0,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,1,1000,185,237,0,17,1000,16000,1000,3556000,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,8,1000,184,232,0,16,1000,16000,1000,3556000,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,64,1000,186,226,1,16,1000,16000,1000,3556000,4094339220,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,1,1000,675,820,0,65,1000,64000,1000,14208000,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,8,1000,669,809,0,64,1000,64000,1000,14208000,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,64,1000,671,812,1,66,1000,64000,1000,14208000,1506002656,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,1,1000,1364,1654,0,128,1000,128000,1000,28520000,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,8,1000,1371,1666,0,129,1000,128000,1000,28520000,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,64,1000,1358,1628,1,128,1000,128000,1000,28392000,622371159,1,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,1,1000,42,57,0,16,1000,16000,0,0,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,8,1000,42,61,0,16,1000,16000,0,0,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,64,1000,43,60,0,16,1000,16000,0,0,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,1,1000,116,141,0,63,1000,64000,0,0,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,8,1000,116,147,0,64,1000,64000,0,0,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,64,1000,117,148,1,64,1000,64000,0,0,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,1,1000,232,309,0,133,1000,128000,0,0,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,8,1000,226,292,0,127,1000,128000,0,0,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,64,1000,227,286,0,128,1000,128000,0,0,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,1,1000,185,262,0,17,1000,16000,1000,3556000,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,8,1000,183,233,0,16,1000,16000,1000,3556000,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,64,1000,185,231,1,17,1000,16000,1000,3556000,4094339220,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,1,1000,678,962,0,65,1000,64000,1000,14208000,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,8,1000,682,911,0,65,1000,64000,1000,14208000,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,64,1000,683,884,1,65,1000,64000,1000,14208000,1506002656,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,1,1000,1434,3845,0,139,1000,128000,1000,28520000,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,8,1000,1366,1612,0,133,1000,128000,1000,28520000,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,64,1000,1379,1676,1,134,1000,128000,1000,28520000,622371159,2,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,1,1000,41,56,0,15,1000,16000,0,0,4094339220,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,8,1000,42,58,1,15,1000,16000,0,0,4094339220,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,64,1000,49,56,8,15,1000,16000,0,0,4094339220,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,1,1000,114,136,3,58,1000,64000,0,0,1506002656,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,8,1000,117,151,5,58,1000,64000,0,0,1506002656,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,64,64,1000,141,176,28,59,1000,64000,0,0,1506002656,2,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
