scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,suite,args,phasesUs,app,p99Us,plans,semanticFrames,semanticBytes,nodes,changedSnapshots
dashboard,mount-first-frame,500,674,925,500,terminal,,1,base,core,"[""500""]",,,,,,,,
agent,mount-first-frame,500,173,254,500,terminal,,1,base,core,"[""500""]",,,,,,,,
files,mount-first-frame,500,370,568,500,terminal,,1,base,core,"[""500""]",,,,,,,,
editor,mount-first-frame,500,180,272,500,terminal,,1,base,core,"[""500""]",,,,,,,,
finance,mount-first-frame,500,23661,24822,500,terminal,,1,base,core,"[""500""]",,,,,,,,
board-16-keyed-false,one-label,500,32,41,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":5,""coverage"":0,""layout"":0,""paint"":6,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,all-labels,500,42,48,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":14,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,reverse,500,44,62,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":15,""coverage"":0,""layout"":1,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,replace-subtree,500,88,129,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":45,""coverage"":0,""layout"":1,""paint"":8,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,one-label,500,48,71,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":21,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,all-labels,500,57,101,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":29,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,reverse,500,52,71,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":23,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,replace-subtree,500,103,180,500,terminal,1359462507,1,base,core,"[""500""]","{""build"":60,""coverage"":0,""layout"":1,""paint"":8,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,one-label,500,81,128,500,terminal,251641503,1,base,core,"[""500""]","{""build"":19,""coverage"":0,""layout"":0,""paint"":38,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,all-labels,500,120,169,500,terminal,251641503,1,base,core,"[""500""]","{""build"":56,""coverage"":0,""layout"":0,""paint"":39,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,reverse,500,125,255,500,terminal,251641503,1,base,core,"[""500""]","{""build"":57,""coverage"":0,""layout"":3,""paint"":40,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,replace-subtree,500,322,585,500,terminal,251641503,1,base,core,"[""500""]","{""build"":247,""coverage"":0,""layout"":6,""paint"":44,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,one-label,500,141,204,500,terminal,251641503,1,base,core,"[""500""]","{""build"":79,""coverage"":0,""layout"":0,""paint"":37,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,all-labels,500,175,226,500,terminal,251641503,1,base,core,"[""500""]","{""build"":112,""coverage"":0,""layout"":0,""paint"":38,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,reverse,500,154,347,500,terminal,251641503,1,base,core,"[""500""]","{""build"":86,""coverage"":0,""layout"":2,""paint"":39,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,replace-subtree,500,376,606,500,terminal,251641503,1,base,core,"[""500""]","{""build"":302,""coverage"":0,""layout"":5,""paint"":43,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-false,one-label,500,225,290,500,terminal,251641503,1,base,core,"[""500""]","{""build"":72,""coverage"":0,""layout"":0,""paint"":129,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
