pair,scenario,version,requestedSteps,capturedFrames,activeFrames,traceCallbacks,callbackP50Ms,callbackP95Ms,callbackMaxMs,browserP50Ms,browserP95Ms,browserMaxMs,appP50Ms,appP95Ms,semanticFlushP50Ms,semanticFlushP95Ms,rowsReplaced,domNodesCreated,semanticUncoveredCells,loadBefore1m,loadAfter1m
1,cursor-blink-80x24,base,100,100,100,131,1.341,2.181,3.359,1.082,1.582,26.472,1.099,1.799,0.6,0.801,200,300,0,4.06640625,4.4189453125
1,cursor-blink-80x24,candidate,100,100,100,131,1.358,2.05,3.077,1.292,1.542,26.882,1.1,1.7,0.6,0.8,200,300,0,4.4189453125,4.2451171875
1,full-frame-churn-160x50,base,100,100,100,130,3.147,4.265,5.071,2.972,3.917,24.321,2.601,3.6,1.1,1.4,5000,5000,0,7.818359375,7.1806640625
1,full-frame-churn-160x50,candidate,100,100,100,131,1.676,2.17,5.034,1.803,2.046,20.479,1.4,1.601,0.7,0.8,5000,5000,0,7.1806640625,8.22802734375
1,noop-160x50,base,100,100,0,130,0.168,0.439,0.591,0.016,0.03,19.414,0,0,0,0,0,0,0,4.2451171875,6.53125
1,noop-160x50,candidate,100,100,0,131,0.106,0.276,0.549,0.018,0.032,22.237,0,0,0,0,0,0,0,6.53125,7.818359375
1,normal-80x24,base,100,100,100,130,1.501,2.323,3.223,1.522,2.089,26.032,1.1,1.5,0.7,0.9,2000,2000,0,5.26513671875,4.8359375
1,normal-80x24,candidate,100,100,100,130,1.399,2.205,3.277,1.467,2.002,27.312,1.1,1.5,0.7,0.9,2000,2000,0,4.8359375,4.6494140625
1,resize-burst,base,100,300,200,388,1.235,2.35,2.965,0.935,1.864,48.55,0.5,1.301,0.699,0.9,5700,5850,0,8.22802734375,8.7314453125
1,resize-burst,candidate,100,300,200,389,1.246,2.508,3.217,0.983,2.041,52.186,0.599,1.301,0.7,0.9,5700,5850,0,8.7314453125,7.09765625
1,single-dirty-cell-160x50,base,100,100,100,131,1.049,1.732,2.178,1.505,1.836,28.531,0.8,1,1,1.3,100,100,0,4.6494140625,4.892578125
1,single-dirty-cell-160x50,candidate,100,100,100,130,0.943,1.362,2.373,1.468,1.96,27.868,0.7,1,1,1.3,100,100,0,4.892578125,4.45458984375
1,text-input-burst-80x24,base,100,200,100,261,0.334,2.125,3.631,0.545,1.647,39.717,0,1.3,0.7,0.9,100,245,0,4.45458984375,4.20458984375
1,text-input-burst-80x24,candidate,100,200,100,260,0.249,2.172,3.044,0.571,1.645,38.598,0,1.599,0.701,0.901,100,245,0,4.20458984375,4.06640625
2,cursor-blink-80x24,base,100,100,100,130,1.476,2.481,3.198,1.32,1.575,27.821,1.199,1.998,0.601,0.9,200,300,0,7.36474609375,7.380859375
2,cursor-blink-80x24,candidate,100,100,100,131,1.368,2.64,3.29,1.295,1.535,27.076,1.1,1.601,0.6,0.801,200,300,0,7.294921875,7.36474609375
2,full-frame-churn-160x50,base,100,100,100,131,3.007,4.14,5.108,2.648,3.517,19.111,2.4,3.699,0.9,1.4,5000,5000,0,8.14892578125,6.93994140625
2,full-frame-churn-160x50,candidate,100,100,100,131,2.992,3.857,5.28,2.878,3.448,27.365,2.5,3.2,1.099,1.4,5000,5000,0,9.51171875,8.14892578125
2,noop-160x50,base,100,100,0,130,0.104,0.227,0.538,0.007,0.019,18.919,0,0,0,0,0,0,0,7.33984375,9.51171875
2,noop-160x50,candidate,100,100,0,130,0.102,0.301,0.436,0.016,0.034,20.271,0,0,0,0,0,0,0,7.380859375,7.33984375
2,normal-80x24,base,100,100,100,131,1.484,2.373,3.504,1.397,1.965,26.966,1,1.502,0.699,0.9,2000,2000,0,6.54052734375,5.6015625
2,normal-80x24,candidate,100,100,100,131,1.409,2.103,3.002,1.39,1.966,29.279,1.1,1.5,0.7,0.9,2000,2000,0,7.09765625,6.54052734375
2,resize-burst,base,100,300,200,388,1.134,2.39,2.991,0.892,1.95,49.504,0.5,1.299,0.7,0.9,5700,5850,0,5.6845703125,5.0986328125
2,resize-burst,candidate,100,300,200,388,1.236,2.332,2.781,0.93,1.848,49.477,0.5,1.3,0.7,0.9,5700,5850,0,6.93994140625,5.6845703125
2,single-dirty-cell-160x50,base,100,100,100,130,0.479,1.447,2.377,0.75,1.757,21.127,0.301,0.5,0.5,0.6,100,100,0,5.763671875,6.705078125
