pair,scenario,version,requestedSteps,capturedFrames,activeFrames,appP50Ms,appP95Ms,browserP50Ms,browserP95Ms,browserMaxMs,semanticFlushP50Ms
1,cursor-blink-80x24,base,100,100,100,0.6,0.801,0.717,0.875,24.745,0.4
1,cursor-blink-80x24,candidate,100,100,100,0.6,0.8,0.666,0.832,0.929,0.4
1,full-frame-churn-160x50,base,100,100,100,1.401,1.701,1.857,2.161,2.313,0.7
1,full-frame-churn-160x50,candidate,100,100,100,1.801,2.101,2.189,2.471,23.722,0.801
1,noop-160x50,base,100,100,0,0,0,0.007,0.011,16.747,0
1,noop-160x50,candidate,100,100,0,0,0,0.007,0.013,16.305,0
1,normal-80x24,base,100,100,100,0.502,0.7,0.85,0.943,20.06,0.4
1,normal-80x24,candidate,100,100,100,0.7,0.8,1.026,1.149,23.238,0.4
1,resize-burst,base,100,300,200,0.3,0.601,0.708,1.196,51.064,0.4
1,resize-burst,candidate,100,300,200,0.4,0.8,0.783,1.344,49.506,0.5
1,single-dirty-cell-160x50,base,100,100,100,0.4,0.5,0.861,1.039,23.136,0.599
1,single-dirty-cell-160x50,candidate,100,100,100,0.401,0.6,0.958,1.127,22.93,0.7
1,text-input-burst-80x24,base,100,200,100,0,0.7,0.53,0.926,32.267,0.5
1,text-input-burst-80x24,candidate,100,200,100,0,0.7,0.455,0.929,32.674,0.4
2,cursor-blink-80x24,base,100,100,100,1,1.2,1.169,1.547,26.281,0.6
2,cursor-blink-80x24,candidate,100,100,100,0.901,1.4,1.138,1.632,27.362,0.599
2,full-frame-churn-160x50,base,100,100,100,2.299,2.701,2.52,3.156,26.065,1
2,full-frame-churn-160x50,candidate,100,100,100,2.498,3.301,2.802,3.582,29.061,1
2,noop-160x50,base,100,100,0,0,0,0.016,0.032,13.354,0
2,noop-160x50,candidate,100,100,0,0,0,0.017,0.03,16.732,0
2,normal-80x24,base,100,100,100,0.6,0.7,0.873,1.055,1.235,0.4
2,normal-80x24,candidate,100,100,100,0.6,0.7,0.861,1.081,20.216,0.4
2,resize-burst,base,100,300,200,0.4,1,0.773,1.756,49.357,0.5
2,resize-burst,candidate,100,300,200,0.499,1.1,0.902,1.714,49.688,0.6
2,single-dirty-cell-160x50,base,100,100,100,0.4,0.6,0.908,1.136,25.463,0.6
2,single-dirty-cell-160x50,candidate,100,100,100,0.4,0.5,0.742,1.015,19.909,0.5
2,text-input-burst-80x24,base,100,200,100,0,1.1,0.524,1.479,37.493,0.6
2,text-input-burst-80x24,candidate,100,200,100,0,1.1,0.471,1.581,35.894,0.6
3,cursor-blink-80x24,base,100,100,100,0.899,1.2,1.119,1.488,24.994,0.5
3,cursor-blink-80x24,candidate,100,100,100,1,1.5,1.178,1.608,1.952,0.6
3,full-frame-churn-160x50,base,100,100,100,1.5,2,1.95,3.03,21.511,0.701
3,full-frame-churn-160x50,candidate,100,100,100,1.501,2.699,1.967,3.093,24.553,0.799
3,noop-160x50,base,100,100,0,0,0,0.013,0.021,20.66,0
3,noop-160x50,candidate,100,100,0,0,0,0.013,0.036,19.981,0
3,normal-80x24,base,100,100,100,0.6,1.201,0.846,1.707,20.465,0.4
3,normal-80x24,candidate,100,100,100,1.001,1.4,1.353,1.853,27.576,0.699
3,resize-burst,base,100,300,200,0.301,0.7,0.688,1.134,54.81,0.4
3,resize-burst,candidate,100,300,200,0.4,1.601,0.758,1.744,54.155,0.401
3,single-dirty-cell-160x50,base,100,100,100,0.4,0.801,0.992,1.713,26.903,0.601
3,single-dirty-cell-160x50,candidate,100,100,100,0.601,0.9,1.26,1.78,26.321,0.899
3,text-input-burst-80x24,base,100,200,100,0,1.1,0.548,1.582,36.117,0.601
3,text-input-burst-80x24,candidate,100,200,100,0,1.101,0.475,1.599,44.169,0.601
